pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
0,0,true,155.030215986,112.217838347,2.125,185.0,0.2,,,,False,False
1,0,true,460.293143648,89.3935715585,2.125,106.0,0.2,,,,False,False
2,0,true,95.5733595422,23.0779671299,2.125,173.0,0.2,,,,False,False
3,0,true,218.572031898,267.269632933,2.125,295.0,0.2,,,,False,False
4,0,true,70.6209823637,22.0151523641,2.125,354.0,0.2,,,,False,False
0,1,true,162.074496108,113.28729735,7.125,98.632693305,0.2,,450,157,False,False
1,1,true,455.919818048,83.7686583864,7.125,322.135216074,0.2,,425,44,False,False
2,1,true,98.0820335275,29.7467136264,7.125,159.384516502,0.2,,161,197,False,False
3,1,true,211.465453847,266.757604222,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,1,true,77.745584249,21.9398332036,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,2,true,169.11877623,114.356756353,7.125,98.632693305,0.2,,450,157,False,False
1,2,true,451.546492447,78.1437452143,7.125,322.135216074,0.2,,425,44,False,False
2,2,true,100.590707513,36.415460123,7.125,159.384516502,0.2,,161,197,False,False
3,2,true,204.358875796,266.24557551,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,2,true,84.8701861343,21.8645140431,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,3,true,176.163056353,115.426215356,7.125,98.632693305,0.2,,450,157,False,False
1,3,true,447.173166847,72.5188320423,7.125,322.135216074,0.2,,425,44,False,False
2,3,true,103.099381498,43.0842066195,7.125,159.384516502,0.2,,161,197,False,False
3,3,true,197.252297745,265.733546798,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,3,true,91.9947880196,21.7891948826,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,4,true,183.207336475,116.495674359,7.125,98.632693305,0.2,,450,157,False,False
1,4,true,442.799841246,66.8939188702,7.125,322.135216074,0.2,,425,44,False,False
2,4,true,105.608055483,49.7529531161,7.125,159.384516502,0.2,,161,197,False,False
3,4,true,190.145719693,265.221518087,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,4,true,99.1193899049,21.7138757221,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,5,true,190.251616597,117.565133363,7.125,98.632693305,0.2,,450,157,False,False
1,5,true,438.426515646,61.2690056982,7.125,322.135216074,0.2,,425,44,False,False
2,5,true,108.116729469,56.4216996127,7.125,159.384516502,0.2,,161,197,False,False
3,5,true,183.039141642,264.709489375,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,5,true,106.24399179,21.6385565616,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,6,true,197.295896719,118.634592366,7.125,98.632693305,0.2,,450,157,False,False
1,6,true,434.053190046,55.6440925261,7.125,322.135216074,0.2,,425,44,False,False
2,6,true,110.625403454,63.0904461092,7.125,159.384516502,0.2,,161,197,False,False
3,6,true,175.932563591,264.197460663,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,6,true,113.368593676,21.5632374011,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,7,true,204.340176842,119.704051369,7.125,98.632693305,0.2,,450,157,False,False
1,7,true,429.679864445,50.019179354,7.125,322.135216074,0.2,,425,44,False,False
2,7,true,113.134077439,69.7591926058,7.125,159.384516502,0.2,,161,197,False,False
3,7,true,168.82598554,263.685431951,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,7,true,120.493195561,21.4879182406,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,8,true,211.384456964,120.773510372,7.125,98.632693305,0.2,,450,157,False,False
1,8,true,425.306538845,44.394266182,7.125,322.135216074,0.2,,425,44,False,False
2,8,true,115.642751425,76.4279391023,7.125,159.384516502,0.2,,161,197,False,False
3,8,true,161.719407488,263.17340324,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,8,true,127.617797446,21.4125990801,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,9,true,218.428737086,121.842969375,7.125,98.632693305,0.2,,450,157,False,False
1,9,true,423.439662624,51.2703405109,7.125,195.189819971,0.2,,376,226,False,False
2,9,true,118.15142541,83.0966855989,7.125,159.384516502,0.2,,161,197,False,False
3,9,true,154.612829437,262.661374528,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,9,true,134.742399331,21.3372799196,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,10,true,225.473017208,122.912428378,7.125,98.632693305,0.2,,450,157,False,False
1,10,true,421.572786404,58.1464148398,7.125,195.189819971,0.2,,376,226,False,False
2,10,true,120.660099395,89.7654320955,7.125,159.384516502,0.2,,161,197,False,False
3,10,true,147.506251386,262.149345816,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,10,true,141.867001217,21.2619607591,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,11,true,232.517297331,123.981887381,7.125,98.632693305,0.2,,450,157,False,False
1,11,true,419.705910183,65.0224891687,7.125,195.189819971,0.2,,376,226,False,False
2,11,true,123.168773381,96.434178592,7.125,159.384516502,0.2,,161,197,False,False
3,11,true,140.399673335,261.637317104,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,11,true,148.991603102,21.1866415986,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,12,true,239.561577453,125.051346384,7.125,98.632693305,0.2,,450,157,False,False
1,12,true,417.839033962,71.8985634976,7.125,195.189819971,0.2,,376,226,False,False
2,12,true,125.677447366,103.102925089,7.125,159.384516502,0.2,,161,197,False,False
3,12,true,133.293095284,261.125288393,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,12,true,156.116204987,21.1113224381,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,13,true,246.605857575,126.120805388,7.125,98.632693305,0.2,,450,157,False,False
1,13,true,415.972157742,78.7746378266,7.125,195.189819971,0.2,,376,226,False,False
2,13,true,128.186121351,109.771671585,7.125,159.384516502,0.2,,161,197,False,False
3,13,true,126.186517232,260.613259681,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,13,true,163.240806873,21.0360032777,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,14,true,253.650137697,127.190264391,7.125,98.632693305,0.2,,450,157,False,False
1,14,true,414.105281521,85.6507121555,7.125,195.189819971,0.2,,376,226,False,False
2,14,true,130.694795337,116.440418082,7.125,159.384516502,0.2,,161,197,False,False
3,14,true,119.079939181,260.101230969,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,14,true,170.365408758,20.9606841172,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,15,true,260.69441782,128.259723394,7.125,98.632693305,0.2,,450,157,False,False
1,15,true,412.2384053,92.5267864844,7.125,195.189819971,0.2,,376,226,False,False
2,15,true,133.203469322,123.109164578,7.125,159.384516502,0.2,,161,197,False,False
3,15,true,111.97336113,259.589202258,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,15,true,177.490010643,20.8853649567,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
0,16,true,267.738697942,129.329182397,7.125,98.632693305,0.2,,450,157,False,False
1,16,true,410.37152908,99.4028608133,7.125,195.189819971,0.2,,376,226,False,False
2,16,true,135.712143307,129.777911075,7.125,159.384516502,0.2,,161,197,False,False
3,16,true,104.866783079,259.077173546,7.125,274.121037808,0.2,,15.387083204,252.630164152,False,False
4,16,true,184.614612529,20.8100457962,7.125,89.394308717,0.2,,470.838976448,17.7841674171,False,False
