pid,tick,latency
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,0,94.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,1,110.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,2,108
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,3,99.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,4,61
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,5,72
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,6,74
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,7,63.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,8,63.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,9,63
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,10,60.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,11,63.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,12,58
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,13,54.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,14,57
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,15,59
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,16,57.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,17,55.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,18,64
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,19,58
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,20,54.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,21,59.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,22,54
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,23,57.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,24,56
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,25,55
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,26,58
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,27,55.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,28,58
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,29,56.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,30,65.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,31,61
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,32,56.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,33,56
