pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,0,visible,266.501,135.144,2.125,275,0.55,0.44
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,0,visible,318.418,154.132,7.125,45,0.42000000000000004,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,1,visible,264.998,133.641,2.125,315,0.56,0.44
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,1,visible,323.456,149.094,7.125,45,0.39,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,2,visible,263.495,132.138,2.125,315,0.5700000000000001,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,2,visible,328.494,144.056,7.125,45,0.43999999999999995,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,3,visible,262.129,130.51,2.125,320,0.55,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,3,visible,333.074,138.598,7.125,40,0.42000000000000004,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,4,visible,262.129,128.385,2.125,0,0.54,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,4,visible,335.511,131.903,7.125,20,0.35,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,5,visible,262.129,126.26,2.125,0,0.53,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,5,visible,337.948,125.208,7.125,20,0.37,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,6,visible,262.129,124.135,2.125,0,0.52,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,6,visible,340.385,118.513,7.125,20,0.31999999999999995,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,7,visible,262.129,122.01,2.125,0,0.49,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,7,visible,345.423,113.475,7.125,45,0.31000000000000005,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,8,visible,262.129,119.885,2.125,0,0.44999999999999996,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,8,visible,352.44,112.238,7.125,80,0.29000000000000004,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,9,visible,262.129,117.76,2.125,0,0.48,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,9,visible,358.61,115.8,7.125,120,0.26,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,10,visible,262.498,115.667,2.125,10,0.45999999999999996,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,10,visible,361.047,122.495,7.125,160,0.21999999999999997,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,11,visible,262.867,113.574,2.125,10,0.43999999999999995,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,11,visible,358.61,129.19,7.125,200,0.18999999999999995,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,12,visible,263.236,111.481,2.125,10,0.39,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,12,visible,352.44,132.752,7.125,240,0.21999999999999997,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,13,visible,264.977,110.262,2.125,55,0.35,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,13,visible,345.342,133.373,7.125,265,0.33999999999999997,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,14,visible,266.718,109.043,2.125,55,0.35,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,14,visible,338.244,133.994,7.125,265,0.35,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,15,visible,268.459,107.824,2.125,55,0.37,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,15,visible,331.146,134.615,7.125,265,0.43000000000000005,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,16,visible,270.2,106.605,2.125,55,0.4,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,16,visible,324.048,135.236,7.125,265,0.44999999999999996,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,17,visible,271.941,105.386,2.125,55,0.43999999999999995,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,17,visible,316.95,135.857,7.125,265,0.45999999999999996,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,18,visible,273.682,104.167,2.125,55,0.42000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,18,visible,311.492,140.437,7.125,230,0.5,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,19,visible,275.423,102.948,2.125,55,0.42000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,19,visible,306.034,145.017,7.125,230,0.5800000000000001,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,20,visible,281.259,98.861,7.125,55,0.4,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,20,visible,300.576,149.597,7.125,230,0.6699999999999999,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,21,visible,287.095,94.774,7.125,55,0.36,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,21,visible,295.118,154.177,7.125,230,0.69,0.33
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,22,visible,288.836,93.555,2.125,55,0.33999999999999997,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,22,visible,289.66,158.757,7.125,230,0.75,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,23,visible,290.577,92.336,2.125,55,0.31000000000000005,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,23,visible,284.202,163.337,7.125,230,0.75,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,24,visible,292.318,91.117,2.125,55,0.29000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,24,visible,278.744,167.917,7.125,230,0.76,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,25,visible,294.059,89.898,2.125,55,0.28,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,25,visible,272.049,170.354,7.125,250,0.76,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,26,visible,299.895,85.811,7.125,55,0.28,0.45
