pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,0,visible,139.102,232.074,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,1,visible,138.204,230.148,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,2,visible,137.306,228.222,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,3,visible,136.408,226.296,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,4,visible,135.51,224.37,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,5,visible,134.612,222.444,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,6,visible,133.714,220.518,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,7,visible,132.816,218.592,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,8,visible,131.918,216.666,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,9,visible,131.02,214.74,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,10,visible,130.122,212.814,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,11,visible,129.224,210.888,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,12,visible,128.326,208.962,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,13,visible,127.428,207.036,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,14,visible,126.53,205.11,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,15,visible,125.632,203.184,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,16,visible,124.734,201.258,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,17,visible,123.836,199.332,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,18,visible,122.938,197.406,2.125,335,0.58,0
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,19,visible,122.04,195.48,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,20,visible,121.142,193.554,2.125,335,0.58,0.01
