pid,tick,latency
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,0,81.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,1,191
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,2,184.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,3,122
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,4,59.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,5,43.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,6,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,7,46
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,8,46
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,9,67.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,10,49
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,11,40.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,12,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,13,41
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,14,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,15,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,16,41
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,17,40.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,18,51.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,19,51
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,20,43.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,21,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,22,42
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,23,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,24,42
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,25,46.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,26,42
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,27,44.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,28,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,29,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,30,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,31,45.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,32,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,33,43
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,34,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,35,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,36,40.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,37,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,38,45.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,39,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,40,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,41,40.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,42,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,43,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,44,40.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,45,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,46,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,47,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,48,41
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,49,42
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,50,40.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,51,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,52,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,53,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,54,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,55,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,56,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,57,41.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,58,43
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,59,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,60,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,61,43
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,62,40.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,63,40
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,64,48
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,62,220.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,65,39
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,66,39.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,67,39.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,63,332.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,64,269
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,65,206
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,66,142.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,68,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,67,153.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,68,91.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,69,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,69,70.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,70,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,70,77.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,71,42.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,71,69
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,72,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,72,71.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,73,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,73,68.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,74,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,74,68.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,75,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,75,71.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,76,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,76,69
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,77,41.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,77,69.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,78,42.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,78,69.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,79,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,79,72.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,80,42
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,80,69
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,81,41.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,81,78
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,82,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,82,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,83,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,83,70.5
