pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,0,visible,250.968,100.97,2.125,189,0.29000000000000004,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,0,visible,180.081,147.863,2.125,30,0.33999999999999997,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,0,visible,209.289,115.873,2.125,105,0.31999999999999995,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,0,visible,389.204,145.733,2.125,2,0.5700000000000001,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,1,visible,250.636,103.069,2.125,189,0.29000000000000004,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,1,visible,181.143,146.023,2.125,30,0.33999999999999997,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,1,visible,211.342,116.423,2.125,105,0.32999999999999996,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,1,visible,389.278,143.609,2.125,2,0.56,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,2,visible,250.304,105.168,2.125,189,0.31999999999999995,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,2,visible,182.206,144.183,2.125,30,0.38,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,2,visible,213.395,116.973,2.125,105,0.35,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,2,visible,388.28,141.733,2.125,332,0.53,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,3,visible,249.972,107.267,2.125,189,0.32999999999999996,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,3,visible,183.268,142.343,2.125,30,0.37,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,3,visible,215.448,117.523,2.125,105,0.36,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,3,visible,387.282,139.857,2.125,332,0.52,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,4,visible,249.64,109.366,2.125,189,0.35,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,4,visible,184.331,140.503,2.125,30,0.41000000000000003,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,4,visible,217.501,118.073,2.125,105,0.32999999999999996,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,4,visible,386.284,137.981,2.125,332,0.48,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,5,visible,248.61,111.225,2.125,209,0.33999999999999997,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,5,visible,185.393,138.663,2.125,30,0.43000000000000005,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,5,visible,219.554,118.623,2.125,105,0.31000000000000005,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,5,visible,385.286,136.105,2.125,332,0.44999999999999996,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,6,visible,247.134,112.754,2.125,224,0.32999999999999996,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,6,visible,186.456,136.823,2.125,30,0.5,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,6,visible,221.607,119.173,2.125,105,0.33999999999999997,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,6,visible,384.288,134.229,2.125,332,0.43999999999999995,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,7,visible,245.658,114.283,2.125,224,0.32999999999999996,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,7,visible,187.006,134.77,2.125,15,0.5,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,7,visible,223.66,119.723,2.125,105,0.36,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,7,visible,383.29,132.353,2.125,332,0.42000000000000004,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,8,visible,243.837,115.377,2.125,239,0.31999999999999995,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,8,visible,186.108,132.844,2.125,335,0.49,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,8,visible,225.713,120.273,2.125,105,0.37,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,8,visible,382.292,130.477,2.125,332,0.38,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,9,visible,241.751,115.782,2.125,259,0.35,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,9,visible,184.605,131.341,2.125,315,0.48,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,9,visible,227.766,120.823,2.125,105,0.38,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,9,visible,382.366,128.353,2.125,2,0.32999999999999996,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,10,visible,239.665,116.187,2.125,259,0.39,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,10,visible,183.102,129.838,2.125,315,0.45999999999999996,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,10,visible,229.819,121.373,2.125,105,0.44999999999999996,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,10,visible,382.987,126.321,2.125,17,0.30000000000000004,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,11,visible,237.656,115.495,2.125,289,0.4,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,11,visible,181.176,128.94,2.125,295,0.43000000000000005,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,11,visible,231.872,121.923,2.125,105,0.44999999999999996,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,11,visible,384.113,124.519,2.125,32,0.26,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,12,visible,235.647,114.803,2.125,289,0.36,0.6
