pid,tick,latency
6598-d0c90d01-a279-4cce-8851-10c07513efe2,2407,26
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,2407,72
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,0,22
6598-d0c90d01-a279-4cce-8851-10c07513efe2,0,26.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,1,26.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,1,27.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,2402,468
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,2403,406.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,2404,343.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,2405,281
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,2406,260
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,2,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,2,28.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,2407,256.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,3,26
6598-d0c90d01-a279-4cce-8851-10c07513efe2,3,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,0,235
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,1,172
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,2,120
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,4,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,4,29
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,3,120
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,5,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,5,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,4,105
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,6,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,6,27.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,5,98.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,7,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,7,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,6,100
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,8,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,8,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,7,106
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,9,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,9,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,8,102
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,10,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,10,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,9,91.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,11,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,11,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,10,101.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,12,26
6598-d0c90d01-a279-4cce-8851-10c07513efe2,12,26.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,13,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,13,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,11,152.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,14,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,14,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,12,194.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,15,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,15,27.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,16,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,16,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,13,257
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,17,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,17,26
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,18,22
6598-d0c90d01-a279-4cce-8851-10c07513efe2,18,26.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,19,24.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,19,27.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,14,344.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,20,22
6598-d0c90d01-a279-4cce-8851-10c07513efe2,20,26.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,21,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,21,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,15,404.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,22,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,22,26
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,23,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,23,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,16,473.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,17,413.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,18,356.5
