pid,tick,latency
4224-adf901a6-65c5-44e1-822f-353db67d5421,0,168.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,1,263
4224-adf901a6-65c5-44e1-822f-353db67d5421,2,202.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,3,139
4224-adf901a6-65c5-44e1-822f-353db67d5421,4,75.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,5,22
4224-adf901a6-65c5-44e1-822f-353db67d5421,6,23
4224-adf901a6-65c5-44e1-822f-353db67d5421,7,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,8,30.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,9,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,10,27.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,11,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,12,24
4224-adf901a6-65c5-44e1-822f-353db67d5421,13,66.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,14,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,15,21.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,16,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,17,14
4224-adf901a6-65c5-44e1-822f-353db67d5421,18,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,19,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,20,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,21,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,22,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,23,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,24,27.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,25,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,26,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,27,20.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,28,13.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,29,26
4224-adf901a6-65c5-44e1-822f-353db67d5421,30,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,31,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,32,24
4224-adf901a6-65c5-44e1-822f-353db67d5421,33,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,34,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,35,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,36,20.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,37,21
4224-adf901a6-65c5-44e1-822f-353db67d5421,38,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,39,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,40,46
4224-adf901a6-65c5-44e1-822f-353db67d5421,41,14
4224-adf901a6-65c5-44e1-822f-353db67d5421,42,12
4224-adf901a6-65c5-44e1-822f-353db67d5421,43,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,44,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,45,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,46,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,47,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,48,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,49,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,50,45
4224-adf901a6-65c5-44e1-822f-353db67d5421,51,29.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,52,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,53,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,54,43
4224-adf901a6-65c5-44e1-822f-353db67d5421,55,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,56,13.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,57,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,58,35.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,59,50
4224-adf901a6-65c5-44e1-822f-353db67d5421,60,25
4224-adf901a6-65c5-44e1-822f-353db67d5421,61,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,62,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,63,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,64,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,65,22
4224-adf901a6-65c5-44e1-822f-353db67d5421,66,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,67,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,68,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,69,15
4224-adf901a6-65c5-44e1-822f-353db67d5421,70,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,71,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,72,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,73,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,74,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,75,164
4224-adf901a6-65c5-44e1-822f-353db67d5421,76,101.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,77,39
4224-adf901a6-65c5-44e1-822f-353db67d5421,78,27
4224-adf901a6-65c5-44e1-822f-353db67d5421,79,112.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,80,51
4224-adf901a6-65c5-44e1-822f-353db67d5421,81,145.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,82,82
4224-adf901a6-65c5-44e1-822f-353db67d5421,83,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,84,34
4224-adf901a6-65c5-44e1-822f-353db67d5421,85,23.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,86,165
4224-adf901a6-65c5-44e1-822f-353db67d5421,87,102.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,88,39.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,89,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,90,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,91,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,92,15
4224-adf901a6-65c5-44e1-822f-353db67d5421,93,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,94,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,95,23.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,96,166.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,97,103
4224-adf901a6-65c5-44e1-822f-353db67d5421,98,51.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,99,30
4224-adf901a6-65c5-44e1-822f-353db67d5421,100,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,101,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,102,18.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,103,50.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,104,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,105,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,106,21
4224-adf901a6-65c5-44e1-822f-353db67d5421,107,31
4224-adf901a6-65c5-44e1-822f-353db67d5421,108,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,109,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,110,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,111,12
4224-adf901a6-65c5-44e1-822f-353db67d5421,112,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,113,19.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,114,14
4224-adf901a6-65c5-44e1-822f-353db67d5421,115,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,116,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,117,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,118,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,119,55.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,120,25.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,121,21
4224-adf901a6-65c5-44e1-822f-353db67d5421,122,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,123,15
4224-adf901a6-65c5-44e1-822f-353db67d5421,124,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,125,27
4224-adf901a6-65c5-44e1-822f-353db67d5421,126,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,127,71.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,128,27.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,129,13.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,130,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,131,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,132,21
4224-adf901a6-65c5-44e1-822f-353db67d5421,133,20.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,134,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,135,38.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,136,13.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,137,18.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,138,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,139,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,140,11.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,141,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,142,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,143,85.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,144,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,145,31
4224-adf901a6-65c5-44e1-822f-353db67d5421,146,27
4224-adf901a6-65c5-44e1-822f-353db67d5421,147,22
4224-adf901a6-65c5-44e1-822f-353db67d5421,148,23.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,149,144.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,150,82
4224-adf901a6-65c5-44e1-822f-353db67d5421,151,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,152,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,153,18.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,154,161
4224-adf901a6-65c5-44e1-822f-353db67d5421,155,98
4224-adf901a6-65c5-44e1-822f-353db67d5421,156,37
4224-adf901a6-65c5-44e1-822f-353db67d5421,157,24
4224-adf901a6-65c5-44e1-822f-353db67d5421,158,12
4224-adf901a6-65c5-44e1-822f-353db67d5421,159,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,160,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,161,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,162,23.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,163,22
4224-adf901a6-65c5-44e1-822f-353db67d5421,164,31
4224-adf901a6-65c5-44e1-822f-353db67d5421,165,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,166,11.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,167,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,168,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,169,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,170,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,171,12
4224-adf901a6-65c5-44e1-822f-353db67d5421,172,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,173,24.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,174,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,175,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,176,23
4224-adf901a6-65c5-44e1-822f-353db67d5421,177,24.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,178,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,179,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,180,43
4224-adf901a6-65c5-44e1-822f-353db67d5421,181,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,182,21
4224-adf901a6-65c5-44e1-822f-353db67d5421,183,23.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,184,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,185,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,186,117.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,187,54.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,188,24
4224-adf901a6-65c5-44e1-822f-353db67d5421,189,30.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,190,24.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,191,15
4224-adf901a6-65c5-44e1-822f-353db67d5421,192,32
4224-adf901a6-65c5-44e1-822f-353db67d5421,193,43.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,194,23.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,195,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,196,12
4224-adf901a6-65c5-44e1-822f-353db67d5421,197,19.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,198,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,199,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,200,14
4224-adf901a6-65c5-44e1-822f-353db67d5421,201,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,202,20.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,203,25.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,204,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,205,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,206,16
