pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,0,visible,283.369,260.907,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,1,visible,283.738,258.814,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,2,visible,284.107,256.721,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,3,visible,284.476,254.628,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,4,visible,284.845,252.535,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,5,visible,285.214,250.442,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,6,visible,285.583,248.349,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,7,visible,285.952,246.256,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,8,visible,286.321,244.163,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,9,visible,286.69,242.07,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,10,visible,287.059,239.977,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,11,visible,287.428,237.884,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,12,visible,287.797,235.791,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,13,visible,288.166,233.698,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,14,visible,288.535,231.605,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,15,visible,288.904,229.512,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,16,visible,289.273,227.419,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,17,visible,289.642,225.326,2.125,10,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,18,visible,288.579,223.486,2.125,330,0.58,0
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,19,visible,286.838,222.267,2.125,305,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,20,visible,285.097,221.048,2.125,305,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,21,visible,283.257,219.986,2.125,300,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,22,visible,281.417,218.923,2.125,300,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,23,visible,279.491,218.025,2.125,295,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,24,visible,277.374,218.21,2.125,265,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,25,visible,275.257,218.395,2.125,265,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,26,visible,273.14,218.58,2.125,265,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,27,visible,271.023,218.765,2.125,265,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,28,visible,268.906,218.95,2.125,265,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,29,visible,263.868,213.912,7.125,315,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,30,visible,258.83,208.874,7.125,315,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,31,visible,257.593,201.857,7.125,350,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,32,visible,256.356,194.84,7.125,350,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,33,visible,255.119,187.823,7.125,350,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,34,visible,253.882,180.806,7.125,350,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,35,visible,252.645,173.789,7.125,350,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,36,visible,251.408,166.772,7.125,350,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,37,visible,251.777,164.679,2.125,10,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,38,visible,252.996,162.938,2.125,35,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,39,visible,257.083,157.102,7.125,35,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,40,visible,261.17,151.266,7.125,35,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,41,visible,263.01,150.203,2.125,60,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,42,visible,265.103,150.572,2.125,100,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,43,visible,269.683,156.03,7.125,140,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,44,visible,270.304,163.128,7.125,175,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,45,visible,266.217,168.964,7.125,215,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,46,visible,259.522,171.401,7.125,250,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,47,visible,252.827,168.964,7.125,290,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,48,visible,248.74,163.128,7.125,325,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,49,visible,249.361,156.03,7.125,5,0.58,0.01
