pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-6841-42a3b948-ba63-4fe5-8492-cada7868465f,facing-6841-42a3b948-ba63-4fe5-8492-cada7868465f,copying-6841-42a3b948-ba63-4fe5-8492-cada7868465f,nearby-2200-c1bb27b2-ebc8-4643-a6ed-9ef3a6cc5435,facing-2200-c1bb27b2-ebc8-4643-a6ed-9ef3a6cc5435,copying-2200-c1bb27b2-ebc8-4643-a6ed-9ef3a6cc5435,nearby-9455-54244e6f-7f8a-4a00-b596-c430d82fa142,facing-9455-54244e6f-7f8a-4a00-b596-c430d82fa142,copying-9455-54244e6f-7f8a-4a00-b596-c430d82fa142,nearby-6486-c0c31169-4698-4fbb-8305-ac28df787feb,facing-6486-c0c31169-4698-4fbb-8305-ac28df787feb,copying-6486-c0c31169-4698-4fbb-8305-ac28df787feb,nearby-4658-dbb120fa-3cf7-4d24-82c1-3470b28e3427,facing-4658-dbb120fa-3cf7-4d24-82c1-3470b28e3427,copying-4658-dbb120fa-3cf7-4d24-82c1-3470b28e3427,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
6841-42a3b948-ba63-4fe5-8492-cada7868465f,0,visible,330.19199999999995,208.24400000000003,2.125,300,1.0,0.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6841-42a3b948-ba63-4fe5-8492-cada7868465f,1,visible,328.352,207.18099999999998,2.125,300,1.0,0.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6841-42a3b948-ba63-4fe5-8492-cada7868465f,2,visible,326.512,206.11900000000003,2.125,300,0.99,0.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6841-42a3b948-ba63-4fe5-8492-cada7868465f,3,visible,324.672,205.05599999999998,2.125,300,0.95,0.22,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6841-42a3b948-ba63-4fe5-8492-cada7868465f,4,visible,322.832,203.99400000000003,2.125,300,0.93,0.22,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6841-42a3b948-ba63-4fe5-8492-cada7868465f,5,visible,320.992,202.93099999999998,2.125,300,0.9,0.22,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6841-42a3b948-ba63-4fe5-8492-cada7868465f,6,visible,319.152,201.86900000000003,2.125,300,0.89,0.22,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6841-42a3b948-ba63-4fe5-8492-cada7868465f,7,visible,312.982,198.30599999999998,7.125,300,0.87,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.0
6841-42a3b948-ba63-4fe5-8492-cada7868465f,8,visible,306.812,194.74400000000003,7.125,300,0.8200000000000001,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.0
6841-42a3b948-ba63-4fe5-8492-cada7868465f,9,visible,300.642,191.18099999999998,7.125,300,0.78,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.0
6841-42a3b948-ba63-4fe5-8492-cada7868465f,10,visible,294.472,187.61900000000003,7.125,300,0.73,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.0
6841-42a3b948-ba63-4fe5-8492-cada7868465f,11,visible,288.302,184.05599999999998,7.125,300,0.75,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.09999999999999998
6841-42a3b948-ba63-4fe5-8492-cada7868465f,12,visible,282.132,180.49400000000003,7.125,300,0.75,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.18000000000000005
6841-42a3b948-ba63-4fe5-8492-cada7868465f,13,visible,275.962,176.93099999999998,7.125,300,0.7,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.28
6841-42a3b948-ba63-4fe5-8492-cada7868465f,14,visible,269.79200000000003,173.36900000000003,7.125,300,0.71,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.34
6841-42a3b948-ba63-4fe5-8492-cada7868465f,15,visible,263.622,169.80599999999998,7.125,300,0.7,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,False,0.37
6841-42a3b948-ba63-4fe5-8492-cada7868465f,16,visible,257.452,166.24400000000003,7.125,300,0.72,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,False,0.42
6841-42a3b948-ba63-4fe5-8492-cada7868465f,17,visible,251.282,162.681,7.125,300,0.76,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,False,0.47
6841-42a3b948-ba63-4fe5-8492-cada7868465f,18,visible,245.112,159.119,7.125,300,0.77,0.22,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,False,0.5
6841-42a3b948-ba63-4fe5-8492-cada7868465f,19,visible,238.942,155.556,7.125,300,0.81,0.23,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,False,0.48
6841-42a3b948-ba63-4fe5-8492-cada7868465f,20,visible,232.77200000000002,151.994,7.125,300,0.78,0.23,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,False,0.41
6841-42a3b948-ba63-4fe5-8492-cada7868465f,21,visible,226.602,148.431,7.125,300,0.78,0.23,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,False,0.34
6841-42a3b948-ba63-4fe5-8492-cada7868465f,22,visible,220.43200000000002,144.869,7.125,300,0.76,0.23,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,False,0.30000000000000004
6841-42a3b948-ba63-4fe5-8492-cada7868465f,23,visible,214.262,141.306,7.125,300,0.73,0.23,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.27
6841-42a3b948-ba63-4fe5-8492-cada7868465f,24,visible,208.092,137.744,7.125,300,0.7,0.23,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.23
6841-42a3b948-ba63-4fe5-8492-cada7868465f,25,visible,201.922,134.181,7.125,300,0.6699999999999999,0.23,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.23
