pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,345,139.875,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,345,137.75,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,345,135.625,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,345,133.5,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,345,131.375,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,345,129.25,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,345,127.125,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,345,125,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,345,122.875,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,345,120.75,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,345,118.625,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,345,116.5,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,345,114.375,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,345,112.25,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,345,110.125,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,345,108,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,345,105.875,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,345,103.75,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,345,101.625,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,345,99.5,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,345,97.375,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,345,95.25,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,345,93.125,2.125,360,0.5,0,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,345,91,2.125,360,0.5,0.01,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,345,88.875,2.125,360,0.5,0.01,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,345,86.75,2.125,360,0.5,0.01,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,345,84.625,2.125,360,0.5,0.01,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,345,82.5,2.125,360,0.5,0.01,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,345,80.375,2.125,360,0.5,0.01,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,345,78.25,2.125,360,0.5,0.01,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,345,76.125,2.125,360,0.5,0.01,0.5,345,142
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,345,74,2.125,360,0.5,0.01,0.5,345,142
