pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,191.864,275.941,2.125,156,0.5,0,0.5,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,192.728,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,193.592,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,194.456,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,195.32,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,196.184,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,197.048,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,197.912,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,198.776,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,199.64,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,200.504,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,201.368,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,202.232,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,203.096,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,203.96,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,204.824,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,205.688,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,206.552,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,207.416,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,208.28,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,209.144,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,210.008,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,210.872,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,211.736,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,212.6,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,213.464,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,214.328,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,215.192,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,216.056,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,216.92,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,217.784,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,218.648,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,219.512,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,220.376,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,221.24,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,222.104,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,222.968,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,223.832,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,224.696,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,225.56,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,226.424,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,227.288,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,228.152,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,229.016,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,229.88,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,230.744,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,23,visible,231.608,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,24,visible,232.472,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,25,visible,233.336,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,26,visible,234.2,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,27,visible,235.064,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,28,visible,235.928,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,29,visible,236.792,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,30,visible,237.656,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,31,visible,238.52,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,32,visible,239.384,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,33,visible,240.248,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,34,visible,241.112,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,35,visible,241.976,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,36,visible,242.84,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,37,visible,243.704,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,38,visible,244.568,277.5,2.125,156,0,0,0,191,274
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,39,visible,245.432,277.5,2.125,156,0,0,0,191,274
