pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,190.476,35.471,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,191.952,33.942,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,193.428,32.413,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,194.904,30.884,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,196.38,29.355,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,197.856,27.826,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,199.332,26.297,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,200.808,24.768,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,202.284,23.239,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,203.76,21.71,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,205.236,20.181,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,206.712,18.652,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,208.188,17.123,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,209.664,15.594,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,211.14,14.065,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,212.616,12.536,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,214.092,11.007,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,215.568,9.478,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,217.044,7.949,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,218.52,6.42,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,219.996,4.891,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,221.472,3.362,2.125,44,0.5,0,0.5,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,222.948,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,224.424,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,225.9,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,227.376,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,228.852,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,230.328,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,231.804,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,233.28,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,234.756,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,236.232,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,237.708,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,239.184,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,240.66,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,242.136,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,243.612,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,245.088,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,246.564,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,248.04,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,249.516,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,250.992,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,252.468,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,253.944,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,255.42,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,256.896,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,23,visible,258.372,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,24,visible,259.848,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,25,visible,261.324,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,26,visible,262.8,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,27,visible,264.276,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,28,visible,265.752,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,29,visible,267.228,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,30,visible,268.704,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,31,visible,270.18,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,32,visible,271.656,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,33,visible,273.132,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,34,visible,274.608,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,35,visible,276.084,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,36,visible,277.56,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,37,visible,279.036,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,38,visible,280.512,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,39,visible,281.988,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,40,visible,283.464,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,41,visible,284.94,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,42,visible,286.416,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,43,visible,287.892,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,44,visible,289.368,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,45,visible,290.844,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,46,visible,292.32,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,47,visible,293.796,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,48,visible,295.272,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,49,visible,296.748,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,50,visible,298.224,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,51,visible,299.7,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,52,visible,301.176,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,53,visible,302.652,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,54,visible,304.128,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,55,visible,305.604,2.5,2.125,44,0,0,0,189,37
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,56,visible,307.08,2.5,2.125,44,0,0,0,189,37
