pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,225.125,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,227.25,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,229.375,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,231.5,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,233.625,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,235.75,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,237.875,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,240,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,242.125,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,244.25,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,246.375,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,248.5,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,250.625,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,252.75,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,254.875,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,257,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,259.125,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,261.25,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,263.375,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,265.5,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,267.625,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,269.75,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,271.875,20,2.125,90,0.5,0,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,274,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,276.125,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,278.25,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,280.375,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,282.5,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,284.625,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,286.75,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,288.875,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,291,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,293.125,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,295.25,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,297.375,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,299.5,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,301.625,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,303.75,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,305.875,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,308,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,310.125,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,312.25,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,314.375,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,316.5,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,318.625,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,320.75,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,23,visible,322.875,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,24,visible,325,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,25,visible,327.125,20,2.125,90,0.5,0.01,0.5,223,20
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,26,visible,329.25,20,2.125,90,0.5,0.01,0.5,223,20
