pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,39.782,144.843,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,41.564,143.686,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,43.346,142.529,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,45.128,141.372,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,46.91,140.215,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,48.692,139.058,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,50.474,137.901,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,52.256,136.744,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,54.038,135.587,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,55.82,134.43,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,57.602,133.273,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,59.384,132.116,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,61.166,130.959,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,62.948,129.802,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,64.73,128.645,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,66.512,127.488,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,68.294,126.331,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,70.076,125.174,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,71.858,124.017,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,73.64,122.86,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,75.422,121.703,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,77.204,120.546,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,78.986,119.389,2.125,57,0.5,0,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,80.768,118.232,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,82.55,117.075,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,84.332,115.918,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,86.114,114.761,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,87.896,113.604,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,89.678,112.447,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,91.46,111.29,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,93.242,110.133,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,95.024,108.976,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,96.806,107.819,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,98.588,106.662,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,100.37,105.505,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,102.152,104.348,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,103.934,103.191,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,105.716,102.034,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,107.498,100.877,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,109.28,99.72,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,111.062,98.563,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,112.844,97.406,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,114.626,96.249,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,116.408,95.092,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,118.19,93.935,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,119.972,92.778,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,23,visible,121.754,91.621,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,24,visible,123.536,90.464,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,25,visible,125.318,89.307,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,26,visible,127.1,88.15,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,27,visible,128.882,86.993,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,28,visible,130.664,85.836,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,29,visible,132.446,84.679,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,30,visible,134.228,83.522,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,31,visible,136.01,82.365,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,32,visible,137.792,81.208,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,33,visible,139.574,80.051,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,34,visible,141.356,78.894,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,35,visible,143.138,77.737,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,36,visible,144.92,76.58,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,37,visible,146.702,75.423,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,38,visible,148.484,74.266,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,39,visible,150.266,73.109,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,40,visible,152.048,71.952,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,41,visible,153.83,70.795,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,42,visible,155.612,69.638,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,43,visible,157.394,68.481,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,44,visible,159.176,67.324,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,45,visible,160.958,66.167,2.125,57,0.5,0.01,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,46,visible,162.74,65.01,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,47,visible,164.522,63.853,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,48,visible,166.304,62.696,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,49,visible,168.086,61.539,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,50,visible,169.868,60.382,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,51,visible,171.65,59.225,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,52,visible,173.432,58.068,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,53,visible,175.214,56.911,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,54,visible,176.996,55.754,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,55,visible,178.778,54.597,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,56,visible,180.56,53.44,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,57,visible,182.342,52.283,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,58,visible,184.124,51.126,2.125,57,0.5,0.02,0.5,38,146
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,59,visible,185.906,49.969,2.125,57,0.5,0.02,0.5,38,146
