pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,330.741,73.891,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,330.482,71.782,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,330.223,69.673,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,329.964,67.564,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,329.705,65.455,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,329.446,63.346,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,329.187,61.237,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,328.928,59.128,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,328.669,57.019,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,328.41,54.91,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,328.151,52.801,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,327.892,50.692,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,327.633,48.583,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,327.374,46.474,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,327.115,44.365,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,326.856,42.256,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,326.597,40.147,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,326.338,38.038,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,326.079,35.929,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,325.82,33.82,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,325.561,31.711,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,325.302,29.602,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,325.043,27.493,2.125,353,0.5,0,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,324.784,25.384,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,324.525,23.275,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,324.266,21.166,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,324.007,19.057,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,323.748,16.948,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,323.489,14.839,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,323.23,12.73,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,322.971,10.621,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,322.712,8.512,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,322.453,6.403,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,322.194,4.294,2.125,353,0.5,0.01,0.5,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,321.935,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,321.676,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,321.417,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,321.158,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,320.899,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,320.64,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,320.381,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,320.122,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,319.863,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,319.604,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,319.345,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,319.086,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,23,visible,318.827,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,24,visible,318.568,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,25,visible,318.309,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,26,visible,318.05,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,27,visible,317.791,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,28,visible,317.532,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,29,visible,317.273,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,30,visible,317.014,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,31,visible,316.755,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,32,visible,316.496,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,33,visible,316.237,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,34,visible,315.978,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,35,visible,315.719,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,36,visible,315.46,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,37,visible,315.201,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,38,visible,314.942,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,39,visible,314.683,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,40,visible,314.424,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,41,visible,314.165,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,42,visible,313.906,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,43,visible,313.647,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,44,visible,313.388,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,45,visible,313.129,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,46,visible,312.87,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,47,visible,312.611,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,48,visible,312.352,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,49,visible,312.093,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,50,visible,311.834,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,51,visible,311.575,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,52,visible,311.316,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,53,visible,311.057,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,54,visible,310.798,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,55,visible,310.539,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,56,visible,310.28,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,57,visible,310.021,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,58,visible,309.762,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,59,visible,309.503,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,60,visible,309.244,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,61,visible,308.985,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,62,visible,308.726,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,63,visible,308.467,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,64,visible,308.208,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,65,visible,307.949,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,66,visible,307.69,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,67,visible,307.431,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,68,visible,307.172,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,69,visible,306.913,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,70,visible,306.654,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,71,visible,306.395,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,72,visible,306.136,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,73,visible,305.877,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,74,visible,305.618,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,75,visible,305.359,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,76,visible,305.1,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,77,visible,304.841,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,78,visible,304.582,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,79,visible,304.323,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,80,visible,304.064,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,81,visible,303.805,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,82,visible,303.546,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,83,visible,303.287,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,84,visible,303.028,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,85,visible,302.769,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,86,visible,302.51,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,87,visible,302.251,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,88,visible,301.992,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,89,visible,301.733,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,90,visible,301.474,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,91,visible,301.215,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,92,visible,300.956,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,93,visible,300.697,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,94,visible,300.438,2.5,2.125,353,0,0.01,0,331,76
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,95,visible,300.179,2.5,2.125,353,0,0.01,0,331,76
