pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,253.157,184.218,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,254.314,182.436,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,255.471,180.654,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,256.628,178.872,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,257.785,177.09,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,258.942,175.308,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,260.099,173.526,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,261.256,171.744,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,262.413,169.962,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,263.57,168.18,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,264.727,166.398,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,265.884,164.616,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,267.041,162.834,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,268.198,161.052,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,269.355,159.27,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,270.512,157.488,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,271.669,155.706,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,272.826,153.924,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,273.983,152.142,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,275.14,150.36,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,276.297,148.578,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,277.454,146.796,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,278.611,145.014,2.125,33,0.5,0,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,279.768,143.232,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,280.925,141.45,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,282.082,139.668,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,283.239,137.886,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,284.396,136.104,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,285.553,134.322,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,286.71,132.54,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,287.867,130.758,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,289.024,128.976,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,290.181,127.194,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,291.338,125.412,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,292.495,123.63,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,293.652,121.848,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,294.809,120.066,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,295.966,118.284,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,297.123,116.502,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,298.28,114.72,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,299.437,112.938,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,300.594,111.156,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,301.751,109.374,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,302.908,107.592,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,304.065,105.81,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,305.222,104.028,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,23,visible,306.379,102.246,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,24,visible,307.536,100.464,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,25,visible,308.693,98.682,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,26,visible,309.85,96.9,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,27,visible,311.007,95.118,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,28,visible,312.164,93.336,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,29,visible,313.321,91.554,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,30,visible,314.478,89.772,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,31,visible,315.635,87.99,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,32,visible,316.792,86.208,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,33,visible,317.949,84.426,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,34,visible,319.106,82.644,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,35,visible,320.263,80.862,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,36,visible,321.42,79.08,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,37,visible,322.577,77.298,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,38,visible,323.734,75.516,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,39,visible,324.891,73.734,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,40,visible,326.048,71.952,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,41,visible,327.205,70.17,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,42,visible,328.362,68.388,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,43,visible,329.519,66.606,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,44,visible,330.676,64.824,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,45,visible,331.833,63.042,2.125,33,0.5,0.01,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,46,visible,332.99,61.26,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,47,visible,334.147,59.478,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,48,visible,335.304,57.696,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,49,visible,336.461,55.914,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,50,visible,337.618,54.132,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,51,visible,338.775,52.35,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,52,visible,339.932,50.568,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,53,visible,341.089,48.786,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,54,visible,342.246,47.004,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,55,visible,343.403,45.222,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,56,visible,344.56,43.44,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,57,visible,345.717,41.658,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,58,visible,346.874,39.876,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,59,visible,348.031,38.094,2.125,33,0.5,0.02,0.5,252,186
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,60,visible,349.188,36.312,2.125,33,0.5,0.02,0.5,252,186
