pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,407.947,228.45,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,405.894,227.9,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,403.841,227.35,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,401.788,226.8,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,399.735,226.25,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,397.682,225.7,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,395.629,225.15,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,393.576,224.6,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,391.523,224.05,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,389.47,223.5,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,387.417,222.95,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,385.364,222.4,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,383.311,221.85,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,381.258,221.3,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,379.205,220.75,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,377.152,220.2,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,375.099,219.65,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,373.046,219.1,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,370.993,218.55,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,368.94,218,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,366.887,217.45,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,364.834,216.9,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,362.781,216.35,2.125,285,0.5,0,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,360.728,215.8,2.125,285,1,0.01,1,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,358.675,215.25,2.125,285,1,0.01,1,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,356.622,214.7,2.125,285,1,0.01,1,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,354.569,214.15,2.125,285,1,0.01,1,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,352.516,213.6,2.125,285,1,0.01,1,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,350.463,213.05,2.125,285,0.5,0.01,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,348.41,212.5,2.125,285,0.5,0.01,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,346.357,211.95,2.125,285,0.5,0.01,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,344.304,211.4,2.125,285,0.5,0.01,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,342.251,210.85,2.125,285,0.5,0.01,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,340.198,210.3,2.125,285,0.5,0.01,0.5,410,229
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,338.145,209.75,2.125,285,0.5,0.01,0.5,410,229
