pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,269.631,167.093,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,269.262,169.186,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,268.893,171.279,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,268.524,173.372,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,268.155,175.465,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,267.786,177.558,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,267.417,179.651,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,267.048,181.744,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,266.679,183.837,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,266.31,185.93,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,265.941,188.023,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,265.572,190.116,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,265.203,192.209,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,264.834,194.302,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,264.465,196.395,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,264.096,198.488,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,263.727,200.581,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,263.358,202.674,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,262.989,204.767,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,262.62,206.86,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,262.251,208.953,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,261.882,211.046,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,261.513,213.139,2.125,190,0.5,0,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,261.144,215.232,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,260.775,217.325,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,260.406,219.418,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,260.037,221.511,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,259.668,223.604,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,259.299,225.697,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,258.93,227.79,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,258.561,229.883,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,258.192,231.976,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,257.823,234.069,2.125,190,0.5,0.01,0.5,270,165
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,257.454,236.162,2.125,190,0.5,0.01,0.5,270,165
