pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,352.259,158.891,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,352.518,156.782,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,352.777,154.673,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,353.036,152.564,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,353.295,150.455,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,353.554,148.346,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,353.813,146.237,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,354.072,144.128,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,354.331,142.019,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,354.59,139.91,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,354.849,137.801,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,355.108,135.692,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,355.367,133.583,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,355.626,131.474,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,355.885,129.365,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,356.144,127.256,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,356.403,125.147,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,356.662,123.038,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,356.921,120.929,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,357.18,118.82,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,357.439,116.711,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,357.698,114.602,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,357.957,112.493,2.125,7,0.5,0,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,358.216,110.384,2.125,7,0.5,0.01,0.5,352,161
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,358.475,108.275,2.125,7,0.5,0.01,0.5,352,161
