pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,194.932,63.91,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,195.864,65.82,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,196.796,67.73,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,197.728,69.64,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,198.66,71.55,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,199.592,73.46,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,200.524,75.37,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,201.456,77.28,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,202.388,79.19,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,203.32,81.1,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,204.252,83.01,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,205.184,84.92,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,206.116,86.83,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,207.048,88.74,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,207.98,90.65,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,208.912,92.56,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,209.844,94.47,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,210.776,96.38,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,211.708,98.29,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,212.64,100.2,2.125,154,0.5,0,0.5,194,62
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,213.572,102.11,2.125,154,0.5,0,0.5,194,62
