pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,4.875,64.963,2.125,271,0.5,0,0.5,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,2.75,64.926,2.125,271,0.5,0,0.5,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,2.5,64.889,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,2.5,64.852,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,2.5,64.815,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,2.5,64.778,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,6,visible,2.5,64.741,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,7,visible,2.5,64.704,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,8,visible,2.5,64.667,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,9,visible,2.5,64.63,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,10,visible,2.5,64.593,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,11,visible,2.5,64.556,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,12,visible,2.5,64.519,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,13,visible,2.5,64.482,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,14,visible,2.5,64.445,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,15,visible,2.5,64.408,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,16,visible,2.5,64.371,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,17,visible,2.5,64.334,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,18,visible,2.5,64.297,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,19,visible,2.5,64.26,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,20,visible,2.5,64.223,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,21,visible,2.5,64.186,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,22,visible,2.5,64.149,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,0,visible,2.5,64.112,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,1,visible,2.5,64.075,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,2,visible,2.5,64.038,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,3,visible,2.5,64.001,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,4,visible,2.5,63.964,2.125,271,0,0,0,7,65
0768-8292a8cf-8a90-45b9-bf7a-73a0704a6421,5,visible,2.5,63.927,2.125,271,0,0,0,7,65
