pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,0,visible,22.053,128.55,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,1,visible,24.106,129.1,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,2,visible,26.159,129.65,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,3,visible,28.212,130.2,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,4,visible,30.265,130.75,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,5,visible,32.318,131.3,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,6,visible,34.371,131.85,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,7,visible,36.424,132.4,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,8,visible,38.477,132.95,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,9,visible,40.53,133.5,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,10,visible,42.583,134.05,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,11,visible,44.636,134.6,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,12,visible,46.689,135.15,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,13,visible,48.742,135.7,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,14,visible,50.795,136.25,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,15,visible,52.848,136.8,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,16,visible,54.901,137.35,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,17,visible,56.954,137.9,2.125,105,0.5,0,0.5,20,128
7818-e10cf4d0-3562-48fa-885d-b305aa0b236c,18,visible,59.007,138.45,2.125,105,0.5,0,0.5,20,128
