pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,0,visible,391.421,86.422,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,1,visible,389.842,87.844,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,2,visible,388.263,89.266,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,3,visible,386.684,90.688,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,4,visible,385.105,92.11,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,5,visible,383.526,93.532,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,6,visible,381.947,94.954,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,7,visible,380.368,96.376,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,8,visible,378.789,97.798,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,9,visible,377.21,99.22,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,10,visible,375.631,100.642,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,11,visible,374.052,102.064,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,12,visible,372.473,103.486,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,13,visible,370.894,104.908,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,14,visible,369.315,106.33,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,15,visible,367.736,107.752,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,16,visible,366.157,109.174,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,17,visible,364.578,110.596,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,18,visible,362.999,112.018,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,19,visible,361.42,113.44,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,20,visible,359.841,114.862,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,21,visible,358.262,116.284,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,0,visible,356.683,117.706,2.125,228,0.5,0,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,1,visible,355.104,119.128,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,2,visible,353.525,120.55,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,3,visible,351.946,121.972,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,4,visible,350.367,123.394,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,5,visible,348.788,124.816,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,6,visible,347.209,126.238,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,7,visible,345.63,127.66,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,8,visible,344.051,129.082,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,9,visible,342.472,130.504,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,10,visible,340.893,131.926,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,11,visible,339.314,133.348,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,12,visible,337.735,134.77,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,13,visible,336.156,136.192,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,14,visible,334.577,137.614,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,15,visible,332.998,139.036,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,16,visible,331.419,140.458,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,17,visible,329.84,141.88,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,18,visible,328.261,143.302,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,19,visible,326.682,144.724,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,20,visible,325.103,146.146,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,21,visible,323.524,147.568,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,22,visible,321.945,148.99,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,23,visible,320.366,150.412,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,24,visible,318.787,151.834,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,25,visible,317.208,153.256,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,26,visible,315.629,154.678,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,27,visible,314.05,156.1,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,28,visible,312.471,157.522,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,29,visible,310.892,158.944,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,30,visible,309.313,160.366,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,31,visible,307.734,161.788,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,32,visible,306.155,163.21,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,33,visible,304.576,164.632,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,34,visible,302.997,166.054,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,35,visible,301.418,167.476,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,36,visible,299.839,168.898,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,37,visible,298.26,170.32,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,38,visible,296.681,171.742,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,39,visible,295.102,173.164,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,40,visible,293.523,174.586,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,41,visible,291.944,176.008,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,42,visible,290.365,177.43,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,43,visible,288.786,178.852,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,44,visible,287.207,180.274,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,45,visible,285.628,181.696,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,46,visible,284.049,183.118,2.125,228,0.5,0.01,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,47,visible,282.47,184.54,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,48,visible,280.891,185.962,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,49,visible,279.312,187.384,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,50,visible,277.733,188.806,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,51,visible,276.154,190.228,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,52,visible,274.575,191.65,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,53,visible,272.996,193.072,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,54,visible,271.417,194.494,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,55,visible,269.838,195.916,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,56,visible,268.259,197.338,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,57,visible,266.68,198.76,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,58,visible,265.101,200.182,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,59,visible,263.522,201.604,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,60,visible,261.943,203.026,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,61,visible,260.364,204.448,2.125,228,0.5,0.02,0.5,393,85
0271-fb2f579a-3aca-4d97-83fe-2c9c768c7ff9,62,visible,258.785,205.87,2.125,228,0.5,0.02,0.5,393,85
