pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,0,visible,316.111,146.122,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,1,visible,316.222,148.244,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,2,visible,316.333,150.366,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,3,visible,316.444,152.488,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,4,visible,316.555,154.61,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,5,visible,316.666,156.732,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,6,visible,316.777,158.854,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,7,visible,316.888,160.976,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,8,visible,316.999,163.098,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,9,visible,317.11,165.22,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,10,visible,317.221,167.342,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,11,visible,317.332,169.464,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,12,visible,317.443,171.586,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,13,visible,317.554,173.708,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,14,visible,317.665,175.83,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,15,visible,317.776,177.952,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,16,visible,317.887,180.074,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,17,visible,317.998,182.196,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,18,visible,318.109,184.318,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,19,visible,318.22,186.44,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,20,visible,318.331,188.562,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,21,visible,318.442,190.684,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,22,visible,318.553,192.806,2.125,177,0.5,0,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,0,visible,318.664,194.928,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,1,visible,318.775,197.05,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,2,visible,318.886,199.172,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,3,visible,318.997,201.294,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,4,visible,319.108,203.416,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,5,visible,319.219,205.538,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,6,visible,319.33,207.66,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,7,visible,319.441,209.782,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,8,visible,319.552,211.904,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,9,visible,319.663,214.026,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,10,visible,319.774,216.148,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,11,visible,319.885,218.27,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,12,visible,319.996,220.392,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,13,visible,320.107,222.514,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,14,visible,320.218,224.636,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,15,visible,320.329,226.758,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,16,visible,320.44,228.88,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,17,visible,320.551,231.002,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,18,visible,320.662,233.124,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,19,visible,320.773,235.246,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,20,visible,320.884,237.368,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,21,visible,320.995,239.49,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,22,visible,321.106,241.612,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,23,visible,321.217,243.734,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,24,visible,321.328,245.856,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,25,visible,321.439,247.978,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,26,visible,321.55,250.1,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,27,visible,321.661,252.222,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,28,visible,321.772,254.344,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,29,visible,321.883,256.466,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,30,visible,321.994,258.588,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,31,visible,322.105,260.71,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,32,visible,322.216,262.832,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,33,visible,322.327,264.954,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,34,visible,322.438,267.076,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,35,visible,322.549,269.198,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,36,visible,322.66,271.32,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,37,visible,322.771,273.442,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,38,visible,322.882,275.564,2.125,177,0.5,0.01,0.5,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,39,visible,322.993,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,40,visible,323.104,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,41,visible,323.215,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,42,visible,323.326,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,43,visible,323.437,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,44,visible,323.548,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,45,visible,323.659,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,46,visible,323.77,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,47,visible,323.881,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,48,visible,323.992,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,49,visible,324.103,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,50,visible,324.214,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,51,visible,324.325,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,52,visible,324.436,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,53,visible,324.547,277.5,2.125,177,0,0.01,0,316,144
6508-bc623e65-d55d-4d39-a012-305642a6f2d1,54,visible,324.658,277.5,2.125,177,0,0.01,0,316,144
