pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,0,visible,233.021,42.657,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,1,visible,235.042,43.314,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,2,visible,237.063,43.971,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,3,visible,239.084,44.628,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,4,visible,241.105,45.285,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,5,visible,243.126,45.942,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,6,visible,245.147,46.599,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,7,visible,247.168,47.256,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,8,visible,249.189,47.913,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,9,visible,251.21,48.57,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,10,visible,253.231,49.227,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,11,visible,255.252,49.884,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,12,visible,257.273,50.541,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,13,visible,259.294,51.198,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,14,visible,261.315,51.855,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,15,visible,263.336,52.512,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,16,visible,265.357,53.169,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,17,visible,267.378,53.826,2.125,108,0.5,0,0.5,231,42
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,18,visible,269.399,54.483,2.125,108,0.5,0,0.5,231,42
