pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,0,visible,215.864,9.941,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,1,visible,216.728,11.882,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,2,visible,217.592,13.823,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,3,visible,218.456,15.764,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,4,visible,219.32,17.705,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,5,visible,220.184,19.646,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,6,visible,221.048,21.587,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,7,visible,221.912,23.528,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,8,visible,222.776,25.469,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,9,visible,223.64,27.41,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,10,visible,224.504,29.351,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,11,visible,225.368,31.292,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,12,visible,226.232,33.233,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,13,visible,227.096,35.174,2.125,156,0.5,0,0.5,215,8
2805-b33bb3a1-7c4e-4dfe-bef3-3125782d322b,14,visible,227.96,37.115,2.125,156,0.5,0,0.5,215,8
