pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,437.675,28.308,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,439.35,29.616,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,441.025,30.924,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,442.7,32.232,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,444.375,33.54,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,446.05,34.848,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,447.725,36.156,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,449.4,37.464,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,451.075,38.772,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,452.75,40.08,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,454.425,41.388,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,456.1,42.696,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,457.775,44.004,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,459.45,45.312,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,461.125,46.62,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,462.8,47.928,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,464.475,49.236,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,466.15,50.544,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,467.825,51.852,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,469.5,53.16,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,471.175,54.468,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,472.85,55.776,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,474.525,57.084,2.125,128,0.5,0,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,476.2,58.392,2.125,128,0.5,0.01,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,477.875,59.7,2.125,128,0.5,0.01,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,479.55,61.008,2.125,128,0.5,0.01,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,481.225,62.316,2.125,128,0.5,0.01,0.5,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,482.5,63.624,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,482.5,64.932,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,482.5,66.24,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,482.5,67.548,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,482.5,68.856,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,482.5,70.164,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,482.5,71.472,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,482.5,72.78,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,482.5,74.088,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,482.5,75.396,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,482.5,76.704,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,482.5,78.012,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,482.5,79.32,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,482.5,80.628,2.125,128,0,0.01,0,436,27
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,482.5,81.936,2.125,128,0,0.01,0,436,27
