pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,212.113,8.222,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,214.226,8.444,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,216.339,8.666,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,218.452,8.888,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,220.565,9.11,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,222.678,9.332,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,224.791,9.554,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,226.904,9.776,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,229.017,9.998,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,231.13,10.22,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,233.243,10.442,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,235.356,10.664,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,237.469,10.886,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,239.582,11.108,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,241.695,11.33,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,243.808,11.552,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,245.921,11.774,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,248.034,11.996,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,250.147,12.218,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,252.26,12.44,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,254.373,12.662,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,256.486,12.884,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,258.599,13.106,2.125,96,0.5,0,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,260.712,13.328,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,262.825,13.55,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,264.938,13.772,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,267.051,13.994,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,269.164,14.216,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,271.277,14.438,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,273.39,14.66,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,275.503,14.882,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,277.616,15.104,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,279.729,15.326,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,281.842,15.548,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,283.955,15.77,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,286.068,15.992,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,288.181,16.214,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,290.294,16.436,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,292.407,16.658,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,294.52,16.88,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,296.633,17.102,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,298.746,17.324,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,300.859,17.546,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,302.972,17.768,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,305.085,17.99,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,307.198,18.212,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,23,visible,309.311,18.434,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,24,visible,311.424,18.656,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,25,visible,313.537,18.878,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,26,visible,315.65,19.1,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,27,visible,317.763,19.322,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,28,visible,319.876,19.544,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,29,visible,321.989,19.766,2.125,96,0.5,0.01,0.5,210,8
5192-90667fcf-2041-4349-b160-43f95d99c6ac,30,visible,324.102,19.988,2.125,96,0.5,0.01,0.5,210,8
