pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,360.522,149.929,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,360.044,147.858,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,359.566,145.787,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,359.088,143.716,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,358.61,141.645,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,358.132,139.574,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,357.654,137.503,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,357.176,135.432,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,356.698,133.361,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,356.22,131.29,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,355.742,129.219,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,355.264,127.148,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,354.786,125.077,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,354.308,123.006,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,353.83,120.935,2.125,347,0.5,0,0.5,361,152
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,353.352,118.864,2.125,347,0.5,0,0.5,361,152
