pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,481.921,173.442,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,479.842,173.884,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,477.763,174.326,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,475.684,174.768,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,473.605,175.21,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,471.526,175.652,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,469.447,176.094,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,467.368,176.536,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,465.289,176.978,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,463.21,177.42,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,461.131,177.862,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,459.052,178.304,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,456.973,178.746,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,454.894,179.188,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,452.815,179.63,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,450.736,180.072,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,448.657,180.514,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,446.578,180.956,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,444.499,181.398,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,442.42,181.84,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,440.341,182.282,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,438.262,182.724,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,436.183,183.166,2.125,258,0.5,0,0.5,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,434.104,183.608,2.125,258,1,0.01,1,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,432.025,184.05,2.125,258,1,0.01,1,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,429.946,184.492,2.125,258,1,0.01,1,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,427.867,184.934,2.125,258,1,0.01,1,484,173
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,425.788,185.376,2.125,258,1,0.01,1,484,173
