pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,303.727,108.003,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,304.454,106.006,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,305.181,104.009,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,305.908,102.012,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,306.635,100.015,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,307.362,98.018,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,308.089,96.021,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,308.816,94.024,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,309.543,92.027,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,310.27,90.03,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,310.997,88.033,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,311.724,86.036,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,312.451,84.039,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,313.178,82.042,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,313.905,80.045,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,314.632,78.048,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,315.359,76.051,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,316.086,74.054,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,316.813,72.057,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,317.54,70.06,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,318.267,68.063,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,318.994,66.066,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,319.721,64.069,2.125,20,0.5,0,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,320.448,62.072,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,321.175,60.075,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,321.902,58.078,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,322.629,56.081,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,323.356,54.084,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,324.083,52.087,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,324.81,50.09,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,325.537,48.093,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,326.264,46.096,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,326.991,44.099,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,327.718,42.102,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,328.445,40.105,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,329.172,38.108,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,329.899,36.111,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,330.626,34.114,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,331.353,32.117,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,332.08,30.12,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,332.807,28.123,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,333.534,26.126,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,334.261,24.129,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,334.988,22.132,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,335.715,20.135,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,336.442,18.138,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,23,visible,337.169,16.141,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,24,visible,337.896,14.144,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,25,visible,338.623,12.147,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,26,visible,339.35,10.15,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,27,visible,340.077,8.153,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,28,visible,340.804,6.156,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,29,visible,341.531,4.159,2.125,20,0.5,0.01,0.5,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,30,visible,342.258,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,31,visible,342.985,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,32,visible,343.712,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,33,visible,344.439,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,34,visible,345.166,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,35,visible,345.893,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,36,visible,346.62,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,37,visible,347.347,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,38,visible,348.074,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,39,visible,348.801,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,40,visible,349.528,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,41,visible,350.255,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,42,visible,350.982,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,43,visible,351.709,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,44,visible,352.436,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,45,visible,353.163,2.5,2.125,20,0,0.01,0,303,110
5192-90667fcf-2041-4349-b160-43f95d99c6ac,46,visible,353.89,2.5,2.125,20,0,0.01,0,303,110
