pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,121.663,250.651,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,120.326,252.302,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,118.989,253.953,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,117.652,255.604,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,116.315,257.255,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,114.978,258.906,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,113.641,260.557,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,112.304,262.208,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,110.967,263.859,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,109.63,265.51,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,108.293,267.161,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,106.956,268.812,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,105.619,270.463,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,104.282,272.114,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,102.945,273.765,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,101.608,275.416,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,100.271,277.067,2.125,219,0.5,0,0.5,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,98.934,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,97.597,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,96.26,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,94.923,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,93.586,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,92.249,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,90.912,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,89.575,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,88.238,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,86.901,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,85.564,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,84.227,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,82.89,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,81.553,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,80.216,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,78.879,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,77.542,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,76.205,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,74.868,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,73.531,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,72.194,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,70.857,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,69.52,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,68.183,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,66.846,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,65.509,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,64.172,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,62.835,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,61.498,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,23,visible,60.161,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,24,visible,58.824,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,25,visible,57.487,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,26,visible,56.15,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,27,visible,54.813,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,28,visible,53.476,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,29,visible,52.139,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,30,visible,50.802,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,31,visible,49.465,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,32,visible,48.128,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,33,visible,46.791,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,34,visible,45.454,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,35,visible,44.117,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,36,visible,42.78,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,37,visible,41.443,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,38,visible,40.106,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,39,visible,38.769,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,40,visible,37.432,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,41,visible,36.095,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,42,visible,34.758,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,43,visible,33.421,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,44,visible,32.084,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,45,visible,30.747,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,46,visible,29.41,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,47,visible,28.073,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,48,visible,26.736,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,49,visible,25.399,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,50,visible,24.062,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,51,visible,22.725,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,52,visible,21.388,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,53,visible,20.051,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,54,visible,18.714,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,55,visible,17.377,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,56,visible,16.04,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,57,visible,14.703,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,58,visible,13.366,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,59,visible,12.029,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,60,visible,10.692,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,61,visible,9.355,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,62,visible,8.018,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,63,visible,6.681,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,64,visible,5.344,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,65,visible,4.007,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,66,visible,2.67,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,67,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,68,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,69,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,70,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,71,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,72,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,73,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,74,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,75,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,76,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,77,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,78,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,79,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,80,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,81,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,82,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,83,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,84,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,85,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,86,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,87,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,88,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,89,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,90,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,91,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,92,visible,2.5,277.5,2.125,219,0,0,0,123,249
5192-90667fcf-2041-4349-b160-43f95d99c6ac,93,visible,3.922,275.921,2.125,42,0.5,0,0.5,150,111
5192-90667fcf-2041-4349-b160-43f95d99c6ac,94,visible,5.344,274.342,2.125,42,0.5,0,0.5,150,111
5192-90667fcf-2041-4349-b160-43f95d99c6ac,95,visible,6.766,272.763,2.125,42,0.5,0,0.5,150,111
