pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,244.942,26.397,7.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,251.884,24.794,7.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,258.826,23.191,7.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,260.897,22.713,2.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,262.968,22.235,2.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,265.039,21.757,2.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,267.11,21.279,2.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,269.181,20.801,2.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,271.252,20.323,2.125,77,0.5,0,0.5,238,28
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,270.222,22.182,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,269.192,24.041,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,268.162,25.9,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,267.132,27.759,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,266.102,29.618,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,265.072,31.477,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,264.042,33.336,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,263.012,35.195,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,261.982,37.054,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,260.952,38.913,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,259.922,40.772,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,258.892,42.631,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,257.862,44.49,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,256.832,46.349,2.125,209,0.5,0,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,255.802,48.208,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,254.772,50.067,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,253.742,51.926,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,252.712,53.785,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,251.682,55.644,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,250.652,57.503,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,249.622,59.362,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,248.592,61.221,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,247.562,63.08,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,246.532,64.939,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,245.502,66.798,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,244.472,68.657,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,243.442,70.516,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,242.412,72.375,2.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,238.958,78.607,7.125,209,0.5,0.01,0.5,204,142
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,239.95,85.663,7.125,172,0.5,0.01,0.5,250,164
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,240.942,92.719,7.125,172,0.5,0.01,0.5,250,164
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,241.934,99.775,7.125,172,0.5,0.01,0.5,250,164
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,242.926,106.831,7.125,172,0.5,0.01,0.5,250,164
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,243.918,113.887,7.125,172,0.5,0.01,0.5,250,164
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,244.91,120.943,7.125,172,0.5,0.01,0.5,250,164
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,245.902,127.999,7.125,172,0.5,0.01,0.5,250,164
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,246.198,130.103,2.125,172,0.5,0.01,0.5,250,164
5192-90667fcf-2041-4349-b160-43f95d99c6ac,23,visible,248.323,130.066,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,24,visible,255.447,129.942,7.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,25,visible,262.571,129.818,7.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,26,visible,269.695,129.694,7.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,27,visible,271.82,129.657,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,28,visible,273.945,129.62,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,29,visible,276.07,129.583,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,30,visible,278.195,129.546,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,31,visible,280.32,129.509,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,32,visible,282.445,129.472,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,33,visible,284.57,129.435,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,34,visible,286.695,129.398,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,35,visible,288.82,129.361,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,36,visible,290.945,129.324,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,37,visible,293.07,129.287,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,38,visible,295.195,129.25,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,39,visible,297.32,129.213,2.125,89,0.5,0.01,0.5,286,129
5192-90667fcf-2041-4349-b160-43f95d99c6ac,40,visible,299.445,129.176,2.125,89,0.5,0.01,0.5,286,129
