pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5192-90667fcf-2041-4349-b160-43f95d99c6ac,0,visible,377.422,275.579,2.125,138,0.5,0,0.5,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,1,visible,378.844,277.158,2.125,138,0.5,0,0.5,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,2,visible,380.266,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,3,visible,381.688,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,4,visible,383.11,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,5,visible,384.532,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,6,visible,385.954,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,7,visible,387.376,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,8,visible,388.798,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,9,visible,390.22,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,10,visible,391.642,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,11,visible,393.064,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,12,visible,394.486,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,13,visible,395.908,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,14,visible,397.33,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,15,visible,398.752,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,16,visible,400.174,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,17,visible,401.596,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,18,visible,403.018,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,19,visible,404.44,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,20,visible,405.862,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,21,visible,407.284,277.5,2.125,138,0,0,0,376,274
5192-90667fcf-2041-4349-b160-43f95d99c6ac,22,visible,408.706,277.5,2.125,138,0,0,0,376,274
