pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,0,visible,280.741,144.781,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,1,visible,282.482,143.562,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,2,visible,284.223,142.343,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,3,visible,285.964,141.124,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,4,visible,287.705,139.905,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,5,visible,289.446,138.686,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,6,visible,291.187,137.467,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,7,visible,292.928,136.248,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,8,visible,294.669,135.029,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,9,visible,296.41,133.81,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,10,visible,298.151,132.591,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,11,visible,299.892,131.372,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,12,visible,301.633,130.153,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,13,visible,303.374,128.934,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,14,visible,305.115,127.715,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,15,visible,306.856,126.496,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,16,visible,308.597,125.277,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,17,visible,310.338,124.058,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,18,visible,312.079,122.839,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,19,visible,313.82,121.62,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,20,visible,315.561,120.401,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,21,visible,317.302,119.182,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,22,visible,319.043,117.963,2.125,55,0.5,0,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,0,visible,320.784,116.744,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,1,visible,322.525,115.525,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,2,visible,324.266,114.306,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,3,visible,326.007,113.087,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,4,visible,327.748,111.868,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,5,visible,329.489,110.649,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,6,visible,331.23,109.43,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,7,visible,332.971,108.211,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,8,visible,334.712,106.992,2.125,55,0.5,0.01,0.5,279,146
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,9,visible,336.453,105.773,2.125,55,0.5,0.01,0.5,279,146
