pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,0,visible,323.476,197.471,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,1,visible,324.952,195.942,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,2,visible,326.428,194.413,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,3,visible,327.904,192.884,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,4,visible,329.38,191.355,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,5,visible,330.856,189.826,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,6,visible,332.332,188.297,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,7,visible,333.808,186.768,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,8,visible,335.284,185.239,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,9,visible,336.76,183.71,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,10,visible,338.236,182.181,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,11,visible,339.712,180.652,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,12,visible,341.188,179.123,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,13,visible,342.664,177.594,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,14,visible,344.14,176.065,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,15,visible,345.616,174.536,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,16,visible,347.092,173.007,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,17,visible,348.568,171.478,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,18,visible,350.044,169.949,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,19,visible,351.52,168.42,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,20,visible,352.996,166.891,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,21,visible,354.472,165.362,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,22,visible,355.948,163.833,2.125,44,0.5,0,0.5,322,199
9724-9b023e98-f222-4a2f-943b-71cd0f9aeb2a,0,visible,357.424,162.304,2.125,44,0.5,0.01,0.5,322,199
