pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,0,visible,218.188,139.238,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,1,visible,219.376,137.476,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,2,visible,220.564,135.714,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,3,visible,221.752,133.952,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,4,visible,222.94,132.19,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,5,visible,224.128,130.428,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,6,visible,225.316,128.666,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,7,visible,226.504,126.904,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,8,visible,227.692,125.142,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,9,visible,228.88,123.38,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,10,visible,230.068,121.618,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,11,visible,231.256,119.856,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,12,visible,232.444,118.094,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,13,visible,233.632,116.332,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,14,visible,234.82,114.57,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,15,visible,236.008,112.808,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,16,visible,237.196,111.046,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,17,visible,238.384,109.284,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,18,visible,239.572,107.522,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,19,visible,240.76,105.76,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,20,visible,241.948,103.998,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,21,visible,243.136,102.236,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,22,visible,244.324,100.474,2.125,34,0.5,0,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,0,visible,245.512,98.712,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,1,visible,246.7,96.95,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,2,visible,247.888,95.188,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,3,visible,249.076,93.426,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,4,visible,250.264,91.664,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,5,visible,251.452,89.902,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,6,visible,252.64,88.14,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,7,visible,253.828,86.378,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,8,visible,255.016,84.616,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,9,visible,256.204,82.854,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,10,visible,257.392,81.092,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,11,visible,258.58,79.33,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,12,visible,259.768,77.568,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,13,visible,260.956,75.806,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,14,visible,262.144,74.044,2.125,34,0.5,0.01,0.5,217,141
7549-aa780baf-d809-4e33-b18a-a07b8d09916a,15,visible,263.332,72.282,2.125,34,0.5,0.01,0.5,217,141
