pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,0,visible,128.303,224.721,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,1,visible,126.606,223.442,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,2,visible,124.909,222.163,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,3,visible,123.212,220.884,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,4,visible,121.515,219.605,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,5,visible,119.818,218.326,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,6,visible,118.121,217.047,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,7,visible,116.424,215.768,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,8,visible,114.727,214.489,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,9,visible,113.03,213.21,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,10,visible,111.333,211.931,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,11,visible,109.636,210.652,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,12,visible,107.939,209.373,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,13,visible,106.242,208.094,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,14,visible,104.545,206.815,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,15,visible,102.848,205.536,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,16,visible,101.151,204.257,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,17,visible,99.454,202.978,2.125,307,0.1,0,0.1,130,226
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,18,visible,97.757,201.699,2.125,307,0.1,0,0.1,130,226
