pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,0,visible,11.503,239.503,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,1,visible,13.006,241.006,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,2,visible,14.509,242.509,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,3,visible,16.012,244.012,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,4,visible,17.515,245.515,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,5,visible,19.018,247.018,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,6,visible,20.521,248.521,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,7,visible,22.024,250.024,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,8,visible,23.527,251.527,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,9,visible,25.03,253.03,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,10,visible,26.533,254.533,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,11,visible,28.036,256.036,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,12,visible,29.539,257.539,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,13,visible,31.042,259.042,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,14,visible,32.545,260.545,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,15,visible,34.048,262.048,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,16,visible,35.551,263.551,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,17,visible,37.054,265.054,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,18,visible,38.557,266.557,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,19,visible,40.06,268.06,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,20,visible,41.563,269.563,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,21,visible,43.066,271.066,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,22,visible,44.569,272.569,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,0,visible,46.072,274.072,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,1,visible,47.575,275.575,2.125,135,0.1,0,0.1,10,238
6109-35b6a495-b97d-4ed1-80b4-3100524bb20c,2,visible,49.078,277.078,2.125,135,0.1,0,0.1,10,238
