pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,0,visible,<tt><tt><tt>100.01.0625000000000002</tt></tt></tt>,<tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,1,visible,<tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,2,visible,<tt><tt><tt><tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,3,visible,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,4,visible,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,5,visible,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,6,visible,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,7,visible,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,8,visible,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
8517-ce1b8baf-13f0-44e0-b173-e091f1d35e9c,9,visible,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>100.01.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>1.0625000000000002</tt></tt></tt>,<tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt><tt>50.0-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>-1.840303983041932</tt></tt></tt>,2.125,30,0.1,0,0.1,100.0,50.0
