pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,0,visible,101.719,2.5,2.125,126,0,0,0,100,0
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,1,visible,103.438,3.749,2.125,126,0.1,0,0.1,100,0
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,2,visible,105.157,4.998,2.125,126,0.1,0,0.1,100,0
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,3,visible,106.876,6.247,2.125,126,0.1,0,0.1,100,0
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,4,visible,108.595,7.496,2.125,126,0.1,0,0.1,100,0
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,5,visible,110.314,8.745,2.125,126,0.1,0,0.1,100,0
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,6,visible,112.033,9.994,2.125,126,0.1,0,0.1,100,0
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,7,visible,113.752,11.243,2.125,126,0.1,0,0.1,100,0
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,8,visible,115.281,12.719,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,9,visible,116.81,14.195,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,10,visible,118.339,15.671,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,11,visible,119.868,17.147,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,12,visible,121.397,18.623,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,13,visible,122.926,20.099,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,14,visible,124.455,21.575,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,15,visible,125.984,23.051,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,16,visible,127.513,24.527,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,17,visible,129.042,26.003,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,18,visible,130.571,27.479,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,19,visible,132.1,28.955,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,20,visible,133.629,30.431,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,21,visible,135.158,31.907,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,22,visible,136.687,33.383,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,0,visible,138.216,34.859,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,1,visible,139.745,36.335,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,2,visible,141.274,37.811,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,3,visible,142.803,39.287,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,4,visible,144.332,40.763,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,5,visible,145.861,42.239,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,6,visible,150.986,47.188,7.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,7,visible,156.111,52.137,7.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,8,visible,161.236,57.086,7.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,9,visible,166.361,62.035,7.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,10,visible,171.486,66.984,7.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,11,visible,176.611,71.933,7.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,12,visible,181.736,76.882,7.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,13,visible,183.265,78.358,2.125,134,0.1,0,0.1,249,141
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,14,visible,185.262,79.085,2.125,110,0.1,0,0.1,230,95
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,15,visible,191.957,81.522,7.125,110,0.1,0,0.1,230,95
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,16,visible,198.652,83.959,7.125,110,0.1,0,0.1,230,95
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,17,visible,205.347,86.396,7.125,110,0.1,0,0.1,230,95
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,18,visible,207.344,87.123,2.125,110,0.1,0,0.1,230,95
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,19,visible,209.341,87.85,2.125,110,0.1,0,0.1,230,95
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,20,visible,211.543,94.626,7.125,162,0.1,0,0.1,223,132
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,21,visible,213.745,101.402,7.125,162,0.1,0,0.1,223,132
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,22,visible,215.947,108.178,7.125,162,0.1,0,0.1,223,132
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,23,visible,218.149,114.954,7.125,162,0.1,0,0.1,223,132
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,24,visible,218.806,116.975,2.125,162,0.1,0,0.1,223,132
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,25,visible,220.815,117.667,2.125,109,0.1,0,0.1,268,134
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,26,visible,227.552,119.987,7.125,109,0.1,0,0.1,268,134
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,27,visible,234.289,122.307,7.125,109,0.1,0,0.1,268,134
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,28,visible,241.026,124.627,7.125,109,0.1,0,0.1,268,134
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,29,visible,247.763,126.947,7.125,109,0.1,0,0.1,268,134
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,30,visible,249.772,127.639,2.125,109,0.1,0,0.1,268,134
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,31,visible,250.568,129.609,2.125,158,0.1,0,0.1,266,169
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,32,visible,253.237,136.215,7.125,158,0.1,0,0.1,266,169
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,33,visible,255.906,142.821,7.125,158,0.1,0,0.1,266,169
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,34,visible,258.575,149.427,7.125,158,0.1,0,0.1,266,169
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,35,visible,259.371,151.397,2.125,158,0.1,0,0.1,266,169
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,36,visible,260.167,153.367,2.125,158,0.1,0,0.1,266,169
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,37,visible,262.151,154.129,2.125,111,0.1,0,0.1,314,174
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,38,visible,268.803,156.682,7.125,111,0.1,0,0.1,314,174
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,39,visible,275.455,159.235,7.125,111,0.1,0,0.1,314,174
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,40,visible,282.107,161.788,7.125,111,0.1,0,0.1,314,174
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,41,visible,288.759,164.341,7.125,111,0.1,0,0.1,314,174
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,42,visible,290.743,165.103,2.125,111,0.1,0,0.1,314,174
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,43,visible,291.931,166.865,2.125,146,0.1,0,0.1,309,193
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,44,visible,295.915,172.772,7.125,146,0.1,0,0.1,309,193
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,45,visible,299.899,178.679,7.125,146,0.1,0,0.1,309,193
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,46,visible,303.883,184.586,7.125,146,0.1,0,0.1,309,193
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,47,visible,305.071,186.348,2.125,146,0.1,0,0.1,309,193
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,48,visible,306.259,188.11,2.125,146,0.1,0,0.1,309,193
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,49,visible,313.345,187.365,7.125,84,0.1,0,0.1,370,181
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,50,visible,320.431,186.62,7.125,84,0.1,0,0.1,370,181
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,51,visible,327.517,185.875,7.125,84,0.1,0,0.1,370,181
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,52,visible,334.603,185.13,7.125,84,0.1,0,0.1,370,181
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,53,visible,336.716,184.908,2.125,84,0.1,0,0.1,370,181
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,54,visible,338.27,186.357,2.125,133,0.1,0,0.1,361,208
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,55,visible,343.481,191.216,7.125,133,0.1,0,0.1,361,208
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,56,visible,348.692,196.075,7.125,133,0.1,0,0.1,361,208
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,57,visible,353.903,200.934,7.125,133,0.1,0,0.1,361,208
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,58,visible,359.114,205.793,7.125,133,0.1,0,0.1,361,208
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,59,visible,360.668,207.242,2.125,133,0.1,0,0.1,361,208
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,60,visible,361.218,205.189,2.125,15,0.1,0,0.1,375,153
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,61,visible,363.062,198.307,7.125,15,0.1,0,0.1,375,153
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,62,visible,364.906,191.425,7.125,15,0.1,0,0.1,375,153
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,63,visible,366.75,184.543,7.125,15,0.1,0,0.1,375,153
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,64,visible,368.594,177.661,7.125,15,0.1,0,0.1,375,153
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,65,visible,369.144,175.608,2.125,15,0.1,0,0.1,375,153
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,66,visible,369.694,173.555,2.125,15,0.1,0,0.1,375,153
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,67,visible,367.608,173.15,2.125,281,0.1,0,0.1,235,147
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,68,visible,365.522,172.745,2.125,281,0.1,0,0.1,235,147
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,69,visible,363.436,172.34,2.125,281,0.1,0,0.1,235,147
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,70,visible,361.35,171.935,2.125,281,0.1,0,0.1,235,147
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,71,visible,359.264,171.53,2.125,281,0.1,0,0.1,235,147
7087-8cbe3f7c-97a0-41ab-8678-948ffc1b7c24,72,visible,357.178,171.125,2.125,281,0.1,0,0.1,235,147
