pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,0,visible,97.896,2.5,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,1,visible,95.792,2.796,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,2,visible,93.688,3.092,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,3,visible,91.584,3.388,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,4,visible,89.48,3.684,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,5,visible,87.376,3.98,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,6,visible,85.272,4.276,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,7,visible,83.168,4.572,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,8,visible,81.064,4.868,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,9,visible,78.96,5.164,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,10,visible,76.856,5.46,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,11,visible,74.752,5.756,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,12,visible,72.648,6.052,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,13,visible,70.544,6.348,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,14,visible,68.44,6.644,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,15,visible,66.336,6.94,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,16,visible,64.232,7.236,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,17,visible,62.128,7.532,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,18,visible,60.024,7.828,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,19,visible,57.92,8.124,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,20,visible,55.816,8.42,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,21,visible,53.712,8.716,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,22,visible,51.608,9.012,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,0,visible,49.504,9.308,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,1,visible,47.4,9.604,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,2,visible,45.296,9.9,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,3,visible,43.192,10.196,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,4,visible,41.088,10.492,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,5,visible,38.984,10.788,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,6,visible,36.88,11.084,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,7,visible,34.776,11.38,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,8,visible,32.672,11.676,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,9,visible,30.568,11.972,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,10,visible,28.464,12.268,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,11,visible,26.36,12.564,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,12,visible,24.256,12.86,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,13,visible,22.152,13.156,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,14,visible,20.048,13.452,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,15,visible,17.944,13.748,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,16,visible,15.84,14.044,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,17,visible,13.736,14.34,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,18,visible,11.632,14.636,2.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,19,visible,4.576,15.628,7.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,20,visible,2.5,16.62,7.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,21,visible,2.5,17.612,7.125,262,0.1,0,0.1,100,0
1788-debea2a5-b0bf-4c43-b328-3c4f779a3be4,22,visible,2.5,18.604,7.125,262,0.1,0,0.1,100,0
