pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,0,visible,100.148,52.12,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,1,visible,100.296,54.24,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,2,visible,100.444,56.36,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,3,visible,100.592,58.48,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,4,visible,100.74,60.6,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,5,visible,100.888,62.72,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,6,visible,101.036,64.84,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,7,visible,101.184,66.96,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,8,visible,101.332,69.08,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,9,visible,101.48,71.2,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,10,visible,101.628,73.32,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,11,visible,101.776,75.44,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,12,visible,101.924,77.56,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,13,visible,102.072,79.68,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,14,visible,102.22,81.8,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,15,visible,102.368,83.92,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,16,visible,102.516,86.04,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,17,visible,102.664,88.16,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,18,visible,102.812,90.28,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,19,visible,102.96,92.4,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,20,visible,103.108,94.52,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,21,visible,103.256,96.64,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,22,visible,103.404,98.76,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,0,visible,103.552,100.88,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,1,visible,103.7,103,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,2,visible,103.848,105.12,2.125,176,0.1,0,0.1,100,50
5470-9726a758-44d8-441e-9cfc-5b557351a4f7,3,visible,103.996,107.24,2.125,176,0.1,0,0.1,100,50
