pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,385.856309684,84.9877180891,2.125,202.0,0.1,0.0015625,,
1,0,true,344.671399295,89.2321819923,2.125,322.0,0.0,0.0,,
2,0,true,253.936797474,77.130433019,2.125,92.0,0.1,0.0015625,,
0,1,true,384.697612193,92.0178706567,7.125,189.359247666,0.1,0.003125,358,254
1,1,true,344.671399295,82.1071819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,1,true,247.470612204,74.1380973002,7.125,294.833131813,0.1,0.003125,124,17
0,2,true,383.538914702,99.0480232242,7.125,189.359247666,0.1,0.0046875,358,254
1,2,true,344.671399295,74.9821819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,2,true,241.004426934,71.1457615814,7.125,294.833131813,0.1,0.0046875,124,17
0,3,true,382.38021721,106.078175792,7.125,189.359247666,0.1,0.00625,358,254
1,3,true,344.671399295,67.8571819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,3,true,234.538241664,68.1534258626,7.125,294.833131813,0.1,0.00625,124,17
0,4,true,381.221519719,113.108328359,7.125,189.359247666,0.1,0.0078125,358,254
1,4,true,344.671399295,60.7321819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,4,true,228.072056394,65.1610901438,7.125,294.833131813,0.1,0.0078125,124,17
0,5,true,380.062822228,120.138480927,7.125,189.359247666,0.1,0.009375,358,254
1,5,true,344.671399295,53.6071819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,5,true,221.605871124,62.168754425,7.125,294.833131813,0.1,0.009375,124,17
0,6,true,378.904124736,127.168633495,7.125,189.359247666,0.1,0.0109375,358,254
1,6,true,344.671399295,46.4821819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,6,true,215.139685854,59.1764187063,7.125,294.833131813,0.1,0.0109375,124,17
0,7,true,377.745427245,134.198786062,7.125,189.359247666,0.1,0.0125,358,254
1,7,true,344.671399295,39.3571819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,7,true,208.673500584,56.1840829875,7.125,294.833131813,0.1,0.0125,124,17
0,8,true,376.586729754,141.22893863,7.125,189.359247666,0.1,0.0140625,358,254
1,8,true,344.671399295,32.2321819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,8,true,202.207315314,53.1917472687,7.125,294.833131813,0.1,0.0140625,124,17
0,9,true,375.428032263,148.259091197,7.125,189.359247666,0.1,0.015625,358,254
1,9,true,344.671399295,25.1071819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,9,true,195.741130044,50.1994115499,7.125,294.833131813,0.1,0.015625,124,17
0,10,true,374.269334771,155.289243765,7.125,189.359247666,0.1,0.0171875,358,254
1,10,true,344.671399295,17.9821819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,10,true,189.274944774,47.2070758311,7.125,294.833131813,0.1,0.0171875,124,17
0,11,true,373.11063728,162.319396333,7.125,189.359247666,0.1,0.01875,358,254
1,11,true,344.671399295,10.8571819923,7.125,0.0,0.0,0.0,344.671399295,2.5
2,11,true,182.808759504,44.2147401123,7.125,294.833131813,0.1,0.01875,124,17
0,12,true,371.951939789,169.3495489,7.125,189.359247666,0.1,0.0203125,358,254
1,12,true,337.546757881,10.7856996822,7.125,270.574835563,0.1,0.0015625,4.58560945669,7.44506389925
2,12,true,176.342574234,41.2224043935,7.125,294.833131813,0.1,0.0203125,124,17
0,13,true,370.793242297,176.379701468,7.125,189.359247666,0.1,0.021875,358,254
1,13,true,330.422845024,10.6612384177,7.125,271.000907773,0.1,0.003125,4.94257849321,4.97480087014
2,13,true,169.876388964,38.2300686748,7.125,294.833131813,0.1,0.021875,124,17
0,14,true,369.634544806,183.409854035,7.125,189.359247666,0.1,0.0234375,358,254
1,14,true,323.299740662,10.4968934997,7.125,271.321698998,0.1,0.0046875,5.02367673324,3.15359892117
2,14,true,163.410203694,35.237732956,7.125,294.833131813,0.1,0.0234375,124,17
0,15,true,368.475847315,190.440006603,7.125,189.359247666,0.1,0.025,358,254
1,15,true,316.175643442,10.383474804,7.125,270.912096429,0.1,0.00625,2.74897817883,5.39358732041
2,15,true,156.944018424,32.2453972372,7.125,294.833131813,0.1,0.025,124,17
0,16,true,367.317149823,197.470159171,7.125,189.359247666,0.1,0.0265625,358,254
1,16,true,309.052582512,10.2172581203,7.125,271.336754877,0.1,0.0078125,3.54464169046,3.08822788089
2,16,true,153.445289939,38.4522099446,7.125,209.409592897,0.1,0.0265625,59,206
0,17,true,366.158452332,204.500311738,7.125,189.359247666,0.1,0.028125,358,254
1,17,true,301.928763342,10.0875452558,7.125,271.043145303,0.1,0.009375,4.05589136822,4.66377710927
2,17,true,149.946561453,44.659022652,7.125,209.409592897,0.1,0.028125,59,206
0,18,true,364.999754841,211.530464306,7.125,189.359247666,0.1,0.0296875,358,254
1,18,true,294.805517791,9.92943825039,7.125,271.271523893,0.1,0.0109375,5.33888878412,3.50445941985
2,18,true,146.447832968,50.8658353594,7.125,209.409592897,0.1,0.0296875,59,206
0,19,true,363.841057349,218.560616873,7.125,189.359247666,0.1,0.03125,358,254
1,19,true,287.682536177,9.7598566468,7.125,271.36382144,0.1,0.0125,5.87854044603,3.05075979904
2,19,true,142.949104482,57.0726480668,7.125,209.409592897,0.1,0.03125,59,206
0,20,true,359.065682188,213.272761253,7.125,317.915328442,0.1,0.0328125,236,77
1,20,true,280.559875364,9.57729723243,7.125,271.468214567,0.1,0.0140625,6.17164681839,2.54451052165
2,20,true,139.450375997,63.2794607743,7.125,209.409592897,0.1,0.0328125,59,206
0,21,true,354.290307026,207.984905632,7.125,317.915328442,0.1,0.034375,236,77
1,21,true,273.43562052,9.47425391582,7.125,270.828653049,0.1,0.015625,5.76141118492,5.60268574401
2,21,true,135.951647511,69.4862734817,7.125,209.409592897,0.1,0.034375,59,206
0,22,true,349.514931865,202.697050011,7.125,317.915328442,0.1,0.0359375,236,77
1,22,true,266.312622349,9.30536918359,7.125,271.358215958,0.1,0.0171875,5.49074624572,3.12133941886
2,22,true,132.452919026,75.6930861891,7.125,209.409592897,0.1,0.0359375,59,206
0,23,true,344.739556703,197.40919439,7.125,317.915328442,0.1,0.0375,236,77
1,23,true,259.189159034,9.15739821915,7.125,271.189995974,0.1,0.01875,3.67491276626,3.84977076595
2,23,true,128.95419054,81.8998988965,7.125,209.409592897,0.1,0.0375,59,206
0,24,true,339.964181542,192.121338769,7.125,317.915328442,0.1,0.0390625,236,77
1,24,true,252.065803583,9.00432269297,7.125,271.231053537,0.1,0.0203125,6.92137203528,3.73635409222
2,24,true,125.455462055,88.1067116039,7.125,209.409592897,0.1,0.0390625,59,206
0,25,true,335.18880638,186.833483149,7.125,317.915328442,0.1,0.040625,236,77
1,25,true,244.941431603,8.90972409888,7.125,270.760738167,0.1,0.021875,6.08518071403,5.73815113954
2,25,true,121.956733569,94.3135243113,7.125,209.409592897,0.1,0.040625,59,206
0,26,true,330.413431218,181.545627528,7.125,317.915328442,0.1,0.0421875,236,77
1,26,true,237.81820049,8.75096799821,7.125,271.276744892,0.1,0.0234375,2.80892890092,3.51329495596
2,26,true,118.458005084,100.520337019,7.125,209.409592897,0.1,0.0421875,59,206
0,27,true,325.638056057,176.257771907,7.125,317.915328442,0.1,0.04375,236,77
1,27,true,230.693640149,8.67181653826,7.125,270.63651058,0.1,0.025,3.24311098156,6.14491795215
2,27,true,114.959276598,106.727149726,7.125,209.409592897,0.1,0.04375,59,206
0,28,true,320.862680895,170.969916286,7.125,317.915328442,0.1,0.0453125,236,77
1,28,true,223.568965758,8.60370025519,7.125,270.547766314,0.1,0.0265625,6.40240975838,6.52745398892
2,28,true,111.460548113,112.933962434,7.125,209.409592897,0.1,0.0453125,59,206
0,29,true,316.087305734,165.682060665,7.125,317.915328442,0.1,0.046875,236,77
1,29,true,216.444959843,8.48468463251,7.125,270.957110179,0.1,0.028125,7.11004489738,4.9874773666
2,29,true,107.961819627,119.140775141,7.125,209.409592897,0.1,0.046875,59,206
0,30,true,311.311930572,160.394205045,7.125,317.915328442,0.1,0.0484375,236,77
1,30,true,209.321434565,8.3397273756,7.125,271.165756083,0.1,0.0296875,4.326216524,4.16826123695
2,30,true,104.463091142,125.347587848,7.125,209.409592897,0.1,0.0484375,59,206
0,31,true,306.536555411,155.106349424,7.125,317.915328442,0.1,0.05,236,77
1,31,true,202.196605577,8.29036244734,7.125,270.396971884,0.1,0.03125,4.36148123601,6.91964649926
2,31,true,100.964362656,131.554400556,7.125,209.409592897,0.1,0.05,59,206
0,32,true,301.761180249,149.818493803,7.125,317.915328442,0.1,0.0515625,236,77
1,32,true,195.071980964,8.21722475078,7.125,270.58814806,0.1,0.0328125,6.60205987751,6.28249041068
2,32,true,97.4656341709,137.761213263,7.125,209.409592897,0.1,0.0515625,59,206
0,33,true,296.985805088,144.530638182,7.125,317.915328442,0.1,0.053125,236,77
1,33,true,187.948317516,8.07922445756,7.125,271.109800535,0.1,0.034375,4.96255306108,4.53440663539
2,33,true,93.9669056854,143.968025971,7.125,209.409592897,0.1,0.053125,59,206
