pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
0,0,true,251.327666242,63.1361383965,2.125,345.0,0.2,,,,False,False
1,0,true,234.30700821,144.094007488,2.125,143.0,0.2,,,,False,False
2,0,true,345.438430693,37.3141037013,2.125,138.0,0.2,,,,False,False
3,0,true,479.895567762,216.840436737,2.125,253.0,0.2,,,,False,False
4,0,true,204.327841757,263.078780158,2.125,104.0,0.2,,,,False,False
0,1,true,245.802823021,67.6352196785,7.125,230.842817559,0.2,,28,245,False,False
1,1,true,227.310502701,142.746960471,7.125,280.897887063,0.2,,78,114,False,False
2,1,true,338.647479615,35.1580405184,7.125,287.614154425,0.2,,335,34,False,False
3,1,true,479.142470415,209.755348919,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,1,true,211.445474556,263.40270659,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,2,true,240.2779798,72.1343009605,7.125,230.842817559,0.2,,28,245,False,False
1,2,true,220.313997192,141.399913454,7.125,280.897887063,0.2,,78,114,False,False
2,2,true,336.622108241,34.5150041306,2.125,287.614154425,0.2,,335,34,False,False
3,2,true,478.389373069,202.670261101,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,2,true,218.563107355,263.726633022,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,3,true,234.753136579,76.6333822425,7.125,230.842817559,0.2,,28,245,False,False
1,3,true,213.317491684,140.052866437,7.125,280.897887063,0.2,,78,114,False,False
2,3,true,332.565254408,40.3722698731,7.125,214.707211255,0.2,,213,213,False,False
3,3,true,477.636275723,195.585173283,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,3,true,225.680740155,264.050559453,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,4,true,229.228293358,81.1324635245,7.125,230.842817559,0.2,,28,245,False,False
1,4,true,206.320986175,138.70581942,7.125,280.897887063,0.2,,78,114,False,False
2,4,true,328.508400575,46.2295356156,7.125,214.707211255,0.2,,213,213,False,False
3,4,true,476.883178376,188.500085465,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,4,true,232.798372954,264.374485885,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,5,true,223.703450137,85.6315448066,7.125,230.842817559,0.2,,28,245,False,False
1,5,true,199.324480666,137.358772403,7.125,280.897887063,0.2,,78,114,False,False
2,5,true,324.451546742,52.0868013581,7.125,214.707211255,0.2,,213,213,False,False
3,5,true,476.13008103,181.414997647,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,5,true,239.916005754,264.698412317,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,6,true,218.178606915,90.1306260886,7.125,230.842817559,0.2,,28,245,False,False
1,6,true,192.327975158,136.011725385,7.125,280.897887063,0.2,,78,114,False,False
2,6,true,320.394692909,57.9440671006,7.125,214.707211255,0.2,,213,213,False,False
3,6,true,475.376983684,174.32990983,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,6,true,247.033638553,265.022338749,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,7,true,212.653763694,94.6297073706,7.125,230.842817559,0.2,,28,245,False,False
1,7,true,185.331469649,134.664678368,7.125,280.897887063,0.2,,78,114,False,False
2,7,true,316.337839076,63.8013328431,7.125,214.707211255,0.2,,213,213,False,False
3,7,true,474.623886337,167.244822012,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,7,true,254.151271352,265.346265181,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,8,true,207.128920473,99.1287886526,7.125,230.842817559,0.2,,28,245,False,False
1,8,true,178.33496414,133.317631351,7.125,280.897887063,0.2,,78,114,False,False
2,8,true,312.280985243,69.6585985856,7.125,214.707211255,0.2,,213,213,False,False
3,8,true,473.870788991,160.159734194,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,8,true,261.268904152,265.670191613,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,9,true,201.604077252,103.627869935,7.125,230.842817559,0.2,,28,245,False,False
1,9,true,171.338458631,131.970584334,7.125,280.897887063,0.2,,78,114,False,False
2,9,true,308.22413141,75.5158643281,7.125,214.707211255,0.2,,213,213,False,False
3,9,true,473.117691645,153.074646376,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,9,true,268.386536951,265.994118044,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,10,true,196.079234031,108.126951217,7.125,230.842817559,0.2,,28,245,False,False
1,10,true,164.341953123,130.623537317,7.125,280.897887063,0.2,,78,114,False,False
2,10,true,304.167277577,81.3731300706,7.125,214.707211255,0.2,,213,213,False,False
3,10,true,472.364594298,145.989558558,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,10,true,275.50416975,266.318044476,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,11,true,190.55439081,112.626032499,7.125,230.842817559,0.2,,28,245,False,False
1,11,true,157.345447614,129.276490299,7.125,280.897887063,0.2,,78,114,False,False
2,11,true,300.110423744,87.2303958131,7.125,214.707211255,0.2,,213,213,False,False
3,11,true,471.611496952,138.90447074,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,11,true,282.62180255,266.641970908,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,12,true,185.029547589,117.125113781,7.125,230.842817559,0.2,,28,245,False,False
1,12,true,150.348942105,127.929443282,7.125,280.897887063,0.2,,78,114,False,False
2,12,true,296.053569911,93.0876615556,7.125,214.707211255,0.2,,213,213,False,False
3,12,true,470.858399606,131.819382922,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,12,true,289.739435349,266.96589734,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,13,true,179.504704368,121.624195063,7.125,230.842817559,0.2,,28,245,False,False
1,13,true,143.352436597,126.582396265,7.125,280.897887063,0.2,,78,114,False,False
2,13,true,291.996716078,98.9449272981,7.125,214.707211255,0.2,,213,213,False,False
3,13,true,470.105302259,124.734295104,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,13,true,296.857068149,267.289823772,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,14,true,173.979861147,126.123276345,7.125,230.842817559,0.2,,28,245,False,False
1,14,true,136.355931088,125.235349248,7.125,280.897887063,0.2,,78,114,False,False
2,14,true,287.939862245,104.802193041,7.125,214.707211255,0.2,,213,213,False,False
3,14,true,469.352204913,117.649207287,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,14,true,303.974700948,267.613750204,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,15,true,168.455017925,130.622357627,7.125,230.842817559,0.2,,28,245,False,False
1,15,true,129.359425579,123.888302231,7.125,280.897887063,0.2,,78,114,False,False
2,15,true,283.883008412,110.659458783,7.125,214.707211255,0.2,,213,213,False,False
3,15,true,468.599107567,110.564119469,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,15,true,311.092333747,267.937676635,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,16,true,162.930174704,135.121438909,7.125,230.842817559,0.2,,28,245,False,False
1,16,true,122.36292007,122.541255214,7.125,280.897887063,0.2,,78,114,False,False
2,16,true,279.82615458,116.516724526,7.125,214.707211255,0.2,,213,213,False,False
3,16,true,467.84601022,103.479031651,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,16,true,318.209966547,268.261603067,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,17,true,157.405331483,139.620520191,7.125,230.842817559,0.2,,28,245,False,False
1,17,true,115.366414562,121.194208196,7.125,280.897887063,0.2,,78,114,False,False
2,17,true,275.769300747,122.373990268,7.125,214.707211255,0.2,,213,213,False,False
3,17,true,467.092912874,96.393943833,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,17,true,325.327599346,268.585529499,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,18,true,151.880488262,144.119601473,7.125,230.842817559,0.2,,28,245,False,False
1,18,true,108.369909053,119.847161179,7.125,280.897887063,0.2,,78,114,False,False
2,18,true,271.712446914,128.231256011,7.125,214.707211255,0.2,,213,213,False,False
3,18,true,466.339815528,89.3088560151,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,18,true,332.445232145,268.909455931,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,19,true,146.355645041,148.618682755,7.125,230.842817559,0.2,,28,245,False,False
1,19,true,101.373403544,118.500114162,7.125,280.897887063,0.2,,78,114,False,False
2,19,true,267.655593081,134.088521753,7.125,214.707211255,0.2,,213,213,False,False
3,19,true,465.586718181,82.2237681972,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,19,true,339.562864945,269.233382363,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,20,true,140.83080182,153.117764037,7.125,230.842817559,0.2,,28,245,False,False
1,20,true,94.3768980355,117.153067145,7.125,280.897887063,0.2,,78,114,False,False
2,20,true,263.598739248,139.945787496,7.125,214.707211255,0.2,,213,213,False,False
3,20,true,464.833620835,75.1386803793,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,20,true,346.680497744,269.557308795,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,21,true,135.305958599,157.616845319,7.125,230.842817559,0.2,,28,245,False,False
1,21,true,87.3803925268,115.806020128,7.125,280.897887063,0.2,,78,114,False,False
2,21,true,259.541885415,145.803053238,7.125,214.707211255,0.2,,213,213,False,False
3,21,true,464.080523489,68.0535925615,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,21,true,353.798130544,269.881235226,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,22,true,129.781115378,162.115926601,7.125,230.842817559,0.2,,28,245,False,False
1,22,true,80.3838870181,114.458973111,7.125,280.897887063,0.2,,78,114,False,False
2,22,true,255.485031582,151.660318981,7.125,214.707211255,0.2,,213,213,False,False
3,22,true,463.327426142,60.9685047436,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,22,true,360.915763343,270.205161658,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,23,true,124.256272157,166.615007883,7.125,230.842817559,0.2,,28,245,False,False
1,23,true,78.2972099365,114.057222246,2.125,280.897887063,0.2,,78,114,False,False
2,23,true,251.428177749,157.517584723,7.125,214.707211255,0.2,,213,213,False,False
3,23,true,462.574328796,53.8834169257,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
