pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
0,0,true,124.638181494,248.163439486,2.125,100.0,0.2,,,,False,False
1,0,true,403.814056591,252.883989942,2.125,206.0,0.2,,,,False,False
2,0,true,456.16637381,27.4575030255,2.125,334.0,0.2,,,,False,False
3,0,true,361.029694005,24.2332032269,2.125,255.0,0.2,,,,False,False
4,0,true,466.839500359,271.765155784,2.125,158.0,0.2,,,,False,False
0,1,true,126.841416695,241.387645832,7.125,18.0125914488,0.2,,192,41,False,False
1,1,true,401.284806811,246.223020001,7.125,339.207632735,0.2,,375,177,False,False
2,1,true,449.556870038,30.1183459159,7.125,248.071353365,0.2,,194,133,False,False
3,1,true,353.918289798,23.7932541378,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,1,true,459.715089031,271.856743137,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,2,true,129.044651897,234.611852178,7.125,18.0125914488,0.2,,192,41,False,False
1,2,true,398.755557032,239.56205006,7.125,339.207632735,0.2,,375,177,False,False
2,2,true,442.947366266,32.7791888063,7.125,248.071353365,0.2,,194,133,False,False
3,2,true,346.80688559,23.3533050487,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,2,true,452.590677704,271.94833049,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,3,true,131.247887099,227.836058523,7.125,18.0125914488,0.2,,192,41,False,False
1,3,true,396.226307252,232.90108012,7.125,339.207632735,0.2,,375,177,False,False
2,3,true,436.337862494,35.4400316968,7.125,248.071353365,0.2,,194,133,False,False
3,3,true,339.695481383,22.9133559596,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,3,true,445.466266377,272.039917844,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,4,true,133.4511223,221.060264869,7.125,18.0125914488,0.2,,192,41,False,False
1,4,true,393.697057473,226.240110179,7.125,339.207632735,0.2,,375,177,False,False
2,4,true,429.728358722,38.1008745872,7.125,248.071353365,0.2,,194,133,False,False
3,4,true,332.584077176,22.4734068705,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,4,true,438.34185505,272.131505197,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,5,true,135.654357502,214.284471215,7.125,18.0125914488,0.2,,192,41,False,False
1,5,true,391.167807693,219.579140238,7.125,339.207632735,0.2,,375,177,False,False
2,5,true,423.11885495,40.7617174776,7.125,248.071353365,0.2,,194,133,False,False
3,5,true,325.472672969,22.0334577814,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,5,true,431.217443723,272.22309255,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,6,true,137.857592704,207.50867756,7.125,18.0125914488,0.2,,192,41,False,False
1,6,true,388.638557914,212.918170297,7.125,339.207632735,0.2,,375,177,False,False
2,6,true,416.509351178,43.4225603681,7.125,248.071353365,0.2,,194,133,False,False
3,6,true,318.361268761,21.5935086923,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,6,true,424.093032396,272.314679904,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,7,true,140.060827905,200.732883906,7.125,18.0125914488,0.2,,192,41,False,False
1,7,true,386.109308135,206.257200356,7.125,339.207632735,0.2,,375,177,False,False
2,7,true,409.899847406,46.0834032585,7.125,248.071353365,0.2,,194,133,False,False
3,7,true,311.249864554,21.1535596031,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,7,true,416.968621069,272.406267257,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,8,true,142.264063107,193.957090252,7.125,18.0125914488,0.2,,192,41,False,False
1,8,true,383.580058355,199.596230415,7.125,339.207632735,0.2,,375,177,False,False
2,8,true,403.290343634,48.7442461489,7.125,248.071353365,0.2,,194,133,False,False
3,8,true,304.138460347,20.713610514,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,8,true,409.844209742,272.49785461,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,9,true,144.467298309,187.181296597,7.125,18.0125914488,0.2,,192,41,False,False
1,9,true,381.050808576,192.935260474,7.125,339.207632735,0.2,,375,177,False,False
2,9,true,396.680839862,51.4050890394,7.125,248.071353365,0.2,,194,133,False,False
3,9,true,297.02705614,20.2736614249,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,9,true,402.719798415,272.589441964,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,10,true,146.67053351,180.405502943,7.125,18.0125914488,0.2,,192,41,False,False
