pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,267.684728043,227.058570121,2.125,122.0,0.1,0.0015625,,
1,0,true,169.417599941,254.882577865,2.125,1.0,0.1,0.0015625,,
2,0,true,117.448680096,211.114332629,2.125,97.0,0.1,0.0015625,,
3,0,true,369.206080039,265.107680892,2.125,278.0,0.1,0.0015625,,
4,0,true,250.564280229,19.8371806251,2.125,202.0,0.1,0.0015625,,
0,1,true,274.369553061,229.524080104,7.125,110.245079734,0.1,0.003125,357,260
1,1,true,172.594034786,248.504812843,7.125,26.4755207083,0.1,0.003125,261,71
2,1,true,117.041617396,204.000970206,7.125,356.724816685,0.1,0.003125,108,46
3,1,true,362.085952149,264.844234833,7.125,272.118987895,0.1,0.003125,69,254
4,1,true,254.533017543,25.754506806,7.125,146.150331904,0.1,0.003125,305,101
0,2,true,281.05437808,231.989590086,7.125,110.245079734,0.1,0.0046875,357,260
1,2,true,175.770469631,242.127047821,7.125,26.4755207083,0.1,0.0046875,261,71
2,2,true,116.634554697,196.887607783,7.125,356.724816685,0.1,0.0046875,108,46
3,2,true,354.965824259,264.580788775,7.125,272.118987895,0.1,0.0046875,69,254
4,2,true,258.501754857,31.6718329869,7.125,146.150331904,0.1,0.0046875,305,101
0,3,true,287.739203098,234.455100069,7.125,110.245079734,0.1,0.00625,357,260
1,3,true,178.946904476,235.749282799,7.125,26.4755207083,0.1,0.00625,261,71
2,3,true,116.227491998,189.77424536,7.125,356.724816685,0.1,0.00625,108,46
3,3,true,347.845696368,264.317342716,7.125,272.118987895,0.1,0.00625,69,254
4,3,true,262.470492171,37.5891591678,7.125,146.150331904,0.1,0.00625,305,101
0,4,true,294.424028116,236.920610051,7.125,110.245079734,0.1,0.0078125,357,260
1,4,true,182.123339321,229.371517777,7.125,26.4755207083,0.1,0.0078125,261,71
2,4,true,115.820429298,182.660882937,7.125,356.724816685,0.1,0.0078125,108,46
3,4,true,340.725568478,264.053896658,7.125,272.118987895,0.1,0.0078125,69,254
4,4,true,266.439229486,43.5064853487,7.125,146.150331904,0.1,0.0078125,305,101
0,5,true,301.108853135,239.386120033,7.125,110.245079734,0.1,0.009375,357,260
1,5,true,185.299774166,222.993752755,7.125,26.4755207083,1.0,0.0234375,261,71
2,5,true,115.413366599,175.547520515,7.125,356.724816685,0.1,0.009375,108,46
3,5,true,333.605440588,263.790450599,7.125,272.118987895,0.1,0.009375,69,254
4,5,true,270.4079668,49.4238115295,7.125,146.150331904,0.1,0.009375,305,101
0,6,true,307.793678153,241.851630016,7.125,110.245079734,0.1,0.0109375,357,260
1,6,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.0390625,185.299774166,222.993752755
2,6,true,115.0063039,168.434158092,7.125,356.724816685,0.1,0.0109375,108,46
3,6,true,326.485312697,263.527004541,7.125,272.118987895,0.1,0.0109375,69,254
4,6,true,274.376704114,55.3411377104,7.125,146.150331904,0.1,0.0109375,305,101
0,7,true,314.478503171,244.317139998,7.125,110.245079734,0.1,0.0125,357,260
1,7,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.0546875,185.299774166,222.993752755
2,7,true,114.5992412,161.320795669,7.125,356.724816685,0.1,0.0125,108,46
3,7,true,319.365184807,263.263558482,7.125,272.118987895,0.1,0.0125,69,254
4,7,true,278.345441428,61.2584638913,7.125,146.150331904,0.1,0.0125,305,101
0,8,true,321.16332819,246.782649981,7.125,110.245079734,0.1,0.0140625,357,260
1,8,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.0703125,185.299774166,222.993752755
2,8,true,114.192178501,154.207433246,7.125,356.724816685,0.1,0.0140625,108,46
3,8,true,312.245056917,263.000112424,7.125,272.118987895,0.1,0.0140625,69,254
4,8,true,282.314178742,67.1757900722,7.125,146.150331904,0.1,0.0140625,305,101
0,9,true,317.074307725,240.947794658,7.125,324.977532408,0.1,0.015625,219,101
1,9,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.0859375,185.299774166,222.993752755
2,9,true,113.785115802,147.094070823,7.125,356.724816685,0.1,0.015625,108,46
3,9,true,305.124929026,262.736666366,7.125,272.118987895,0.1,0.015625,69,254
4,9,true,289.156980605,69.1611584679,7.125,106.179541377,0.1,0.015625,392,99
0,10,true,312.985287259,235.112939336,7.125,324.977532408,0.1,0.0171875,219,101
1,10,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.1015625,185.299774166,222.993752755
2,10,true,113.378053102,139.9807084,7.125,356.724816685,0.1,0.0171875,108,46
3,10,true,298.004801136,262.473220307,7.125,272.118987895,0.1,0.0171875,69,254
4,10,true,295.999782468,71.1465268635,7.125,106.179541377,0.1,0.0171875,392,99
0,11,true,308.896266794,229.278084013,7.125,324.977532408,0.1,0.01875,219,101
1,11,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.1171875,185.299774166,222.993752755
2,11,true,112.970990403,132.867345977,7.125,356.724816685,0.1,0.01875,108,46
3,11,true,290.884673246,262.209774249,7.125,272.118987895,0.1,0.01875,69,254
4,11,true,302.842584331,73.1318952592,7.125,106.179541377,0.1,0.01875,392,99
0,12,true,304.807246329,223.443228691,7.125,324.977532408,0.1,0.0203125,219,101
1,12,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.1328125,185.299774166,222.993752755
2,12,true,112.563927704,125.753983555,7.125,356.724816685,0.1,0.0203125,108,46
3,12,true,283.764545356,261.94632819,7.125,272.118987895,0.1,0.0203125,69,254
4,12,true,309.685386193,75.1172636548,7.125,106.179541377,0.1,0.0203125,392,99
0,13,true,300.718225864,217.608373368,7.125,324.977532408,0.1,0.021875,219,101
1,13,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.1484375,185.299774166,222.993752755
2,13,true,112.156865004,118.640621132,7.125,356.724816685,0.1,0.021875,108,46
3,13,true,276.644417465,261.682882132,7.125,272.118987895,0.1,0.021875,69,254
4,13,true,316.528188056,77.1026320505,7.125,106.179541377,0.1,0.021875,392,99
0,14,true,296.629205398,211.773518046,7.125,324.977532408,0.1,0.0234375,219,101
1,14,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.1640625,185.299774166,222.993752755
2,14,true,111.749802305,111.527258709,7.125,356.724816685,0.1,0.0234375,108,46
3,14,true,269.524289575,261.419436073,7.125,272.118987895,0.1,0.0234375,69,254
4,14,true,323.370989919,79.0880004461,7.125,106.179541377,0.1,0.0234375,392,99
0,15,true,292.540184933,205.938662723,7.125,324.977532408,0.1,0.025,219,101
1,15,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.1796875,185.299774166,222.993752755
2,15,true,111.342739606,104.413896286,7.125,356.724816685,0.1,0.025,108,46
3,15,true,262.404161685,261.155990015,7.125,272.118987895,0.1,0.025,69,254
4,15,true,330.213791782,81.0733688418,7.125,106.179541377,0.1,0.025,392,99
0,16,true,288.451164468,200.103807401,7.125,324.977532408,0.1,0.0265625,219,101
1,16,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.1953125,185.299774166,222.993752755
2,16,true,110.935676906,97.3005338632,7.125,356.724816685,0.1,0.0265625,108,46
3,16,true,255.284033794,260.892543956,7.125,272.118987895,0.1,0.0265625,69,254
4,16,true,337.056593645,83.0587372374,7.125,106.179541377,0.1,0.0265625,392,99
0,17,true,284.362144002,194.268952078,7.125,324.977532408,0.1,0.028125,219,101
1,17,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.2109375,185.299774166,222.993752755
2,17,true,110.528614207,90.1871714403,7.125,356.724816685,0.1,0.028125,108,46
3,17,true,248.163905904,260.629097898,7.125,272.118987895,0.1,0.028125,69,254
4,17,true,343.899395507,85.0441056331,7.125,106.179541377,0.1,0.028125,392,99
0,18,true,280.273123537,188.434096756,7.125,324.977532408,0.1,0.0296875,219,101
1,18,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.2265625,185.299774166,222.993752755
2,18,true,110.121551508,83.0738090175,7.125,356.724816685,0.1,0.0296875,108,46
3,18,true,241.043778014,260.365651839,7.125,272.118987895,0.1,0.0296875,69,254
4,18,true,350.74219737,87.0294740287,7.125,106.179541377,0.1,0.0296875,392,99
0,19,true,276.184103072,182.599241433,7.125,324.977532408,0.1,0.03125,219,101
1,19,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.2421875,185.299774166,222.993752755
2,19,true,105.609726019,88.5882496742,7.125,219.289471629,0.1,0.03125,57,148
3,19,true,233.923650123,260.102205781,7.125,272.118987895,0.1,0.03125,69,254
4,19,true,357.584999233,89.0148424244,7.125,106.179541377,0.1,0.03125,392,99
0,20,true,272.095082607,176.764386111,7.125,324.977532408,0.1,0.0328125,219,101
1,20,true,185.299774166,222.993752755,0,26.4755207083,1.0,0.2578125,185.299774166,222.993752755
2,20,true,101.09790053,94.1026903309,7.125,219.289471629,0.1,0.0328125,57,148
3,20,true,226.803522233,259.838759722,7.125,272.118987895,0.1,0.0328125,69,254
4,20,true,350.838074165,91.304957515,7.125,251.251198241,0.1,0.0328125,228,133
