pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0,0,true,100.691832328,47.9907730269,2.125,19.0,0.5,0.125,0.5,,
1,0,true,399.938437061,208.724301374,2.125,301.0,1.0,0.25,1.0,,
2,0,true,404.139614293,197.579878206,2.125,129.0,1.0,0.25,1.0,,
3,0,true,74.643137307,200.673003222,2.125,268.0,0.5,0.125,0.5,,
4,0,true,87.7611383683,196.368469199,2.125,80.0,0.5,0.125,0.5,,
0,1,true,94.4601669149,44.5365044826,7.125,299.0,0.5,0.25,0.5,71,129
1,1,true,397.839599337,209.056724612,2.125,261.0,1.0,0.5,1.0,399.938437061,208.724301374
2,1,true,406.264290646,197.542791842,2.125,89.0,1.0,0.5,1.0,404.139614293,197.579878206
3,1,true,69.3482304254,205.440558792,7.125,228.0,0.5,0.25,0.5,206,219
4,1,true,92.3410000873,190.910402542,7.125,40.0,0.5,0.25,0.5,100,44
0,2,true,89.9762591286,50.073669458,7.125,219.0,0.5,0.375,0.5,71,129
1,2,true,396.4454739,210.66048247,2.125,221.0,1.0,0.75,1.0,397.839599337,209.056724612
2,2,true,407.868048504,196.148666405,2.125,49.0,1.0,0.75,1.0,406.264290646,197.542791842
3,2,true,68.3566220811,212.496218782,7.125,188.0,0.5,0.375,0.5,206,219
4,2,true,92.7119497607,183.795065491,7.125,2.98434583817,0.5,0.375,0.5,100,44
0,3,true,88.310660234,57.001252393,7.125,193.519027392,0.5,0.5,0.5,71,129
1,3,true,396.408387536,212.785158822,2.125,181.0,1.0,1.0,1.0,396.4454739,210.66048247
2,3,true,408.200471742,194.049828682,2.125,9.0,1.0,1.0,1.0,407.868048504,196.148666405
3,3,true,72.1322968388,218.538561467,7.125,148.0,0.5,0.5,0.5,206,219
4,3,true,93.0828994342,176.679728441,7.125,2.98434583817,0.5,0.5,0.5,100,44
0,4,true,86.6450613393,63.9288353281,7.125,193.519027392,0.5,0.625,0.5,71,129
1,4,true,397.745693367,214.43659399,2.125,141.0,1.0,1.25,1.0,396.408387536,212.785158822
2,4,true,407.106015833,192.228348168,2.125,329.0,1.0,1.25,1.0,408.200471742,194.049828682
3,4,true,78.9085745174,220.740307552,7.125,108.0,0.5,0.625,0.5,206,219
4,4,true,93.4538491076,169.564391391,7.125,2.98434583817,0.5,0.625,0.5,100,44
0,5,true,84.9794624446,70.8564182631,7.125,193.519027392,0.5,0.75,0.5,71,129
1,5,true,399.831651132,214.842063106,2.125,101.0,1.0,1.5,1.0,397.745693367,214.43659399
2,5,true,405.09678886,191.536515839,2.125,289.0,1.0,1.5,1.0,407.106015833,192.228348168
3,5,true,86.0329066145,220.642751569,7.125,89.2154777884,0.5,0.75,0.5,206,219
4,5,true,93.824798781,162.44905434,7.125,2.98434583817,0.5,0.75,0.5,100,44
0,6,true,83.31386355,77.7840011982,7.125,193.519027392,0.5,0.875,0.5,71,129
1,6,true,401.69021801,213.811842663,2.125,61.0,1.0,1.75,1.0,399.831651132,214.842063106
2,6,true,403.112930453,192.298047732,2.125,249.0,1.0,1.75,1.0,405.09678886,191.536515839
3,6,true,93.1572387116,220.545195586,7.125,89.2154777884,0.5,0.875,0.5,206,219
4,6,true,94.1957484545,155.33371729,7.125,2.98434583817,0.5,0.875,0.5,100,44
0,7,true,81.6482646553,84.7115841333,7.125,193.519027392,0.5,1.0,0.5,71,129
1,7,true,402.451749903,211.827984256,2.125,21.0,1.0,2.0,1.0,401.69021801,213.811842663
2,7,true,402.08271001,194.15661461,2.125,209.0,1.0,2.0,1.0,403.112930453,192.298047732
3,7,true,100.281570809,220.447639603,7.125,89.2154777884,0.5,1.0,0.5,206,219
4,7,true,94.5666981279,148.21838024,7.125,2.98434583817,0.5,1.0,0.5,100,44
0,8,true,79.9826657606,91.6391670683,7.125,193.519027392,0.5,1.125,0.5,71,129
1,8,true,401.759917575,209.818757283,2.125,341.0,1.0,2.25,1.0,402.451749903,211.827984256
2,8,true,402.488179125,196.242572375,2.125,169.0,1.0,2.25,1.0,402.08271001,194.15661461
3,8,true,107.405902906,220.35008362,7.125,89.2154777884,0.5,1.125,0.5,206,219
4,8,true,94.9376478014,141.103043189,7.125,2.98434583817,0.5,1.125,0.5,100,44
0,9,true,78.317066866,98.5667500034,7.125,193.519027392,0.5,1.25,0.5,71,129
1,9,true,399.938437061,208.724301374,2.125,301.0,1.0,2.5,1.0,401.759917575,209.818757283
2,9,true,404.139614293,197.579878206,2.125,129.0,1.0,2.5,1.0,402.488179125,196.242572375
3,9,true,114.530235003,220.252527637,7.125,89.2154777884,0.5,1.25,0.5,206,219
4,9,true,95.3085974748,133.987706139,7.125,2.98434583817,0.5,1.25,0.5,100,44
0,10,true,76.6514679713,105.494332938,7.125,193.519027392,0.5,1.375,0.5,71,129
1,10,true,397.839599337,209.056724612,2.125,261.0,1.0,2.75,1.0,399.938437061,208.724301374
2,10,true,406.264290646,197.542791842,2.125,89.0,1.0,2.75,1.0,404.139614293,197.579878206
3,10,true,121.6545671,220.154971653,7.125,89.2154777884,0.5,1.375,0.5,206,219
4,10,true,95.6795471482,126.872369089,7.125,2.98434583817,0.5,1.375,0.5,100,44
0,11,true,74.9858690766,112.421915873,7.125,193.519027392,0.5,1.5,0.5,71,129
1,11,true,396.4454739,210.66048247,2.125,221.0,1.0,3.0,1.0,397.839599337,209.056724612
2,11,true,407.868048504,196.148666405,2.125,49.0,1.0,3.0,1.0,406.264290646,197.542791842
3,11,true,128.778899197,220.05741567,7.125,89.2154777884,0.5,1.5,0.5,206,219
4,11,true,96.0504968217,119.757032038,7.125,2.98434583817,0.5,1.5,0.5,100,44
0,12,true,74.4891115116,114.4880371,2.125,193.519027392,0.5,1.625,0.5,71,129
1,12,true,396.408387536,212.785158822,2.125,181.0,1.0,3.25,1.0,396.4454739,210.66048247
2,12,true,408.200471742,194.049828682,2.125,9.0,1.0,3.25,1.0,407.868048504,196.148666405
3,12,true,135.903231294,219.959859687,7.125,89.2154777884,0.5,1.625,0.5,206,219
4,12,true,96.4214464951,112.641694988,7.125,2.98434583817,0.5,1.625,0.5,100,44
0,13,true,81.0222206829,117.331293957,7.125,113.519027392,0.5,1.75,0.5,122,112
1,13,true,397.745693367,214.43659399,2.125,141.0,1.0,3.5,1.0,396.408387536,212.785158822
2,13,true,407.106015833,192.228348168,2.125,329.0,1.0,3.5,1.0,408.200471742,194.049828682
3,13,true,143.027563392,219.862303704,7.125,89.2154777884,0.5,1.75,0.5,206,219
4,13,true,96.7923961685,105.526357938,7.125,2.98434583817,0.5,1.75,0.5,100,44
0,14,true,88.0876747257,116.412063753,7.125,82.5873368979,0.5,1.875,0.5,122,112
1,14,true,399.831651132,214.842063106,2.125,101.0,1.0,3.75,1.0,397.745693367,214.43659399
2,14,true,405.09678886,191.536515839,2.125,289.0,1.0,3.75,1.0,407.106015833,192.228348168
3,14,true,150.151895489,219.764747721,7.125,89.2154777884,0.5,1.875,0.5,206,219
4,14,true,97.163345842,98.4110208874,7.125,2.98434583817,0.5,1.875,0.5,100,44
0,15,true,95.1531287686,115.492833549,7.125,82.5873368979,0.5,2.0,0.5,122,112
1,15,true,401.69021801,213.811842663,2.125,61.0,1.0,4.0,1.0,399.831651132,214.842063106
2,15,true,403.112930453,192.298047732,2.125,249.0,1.0,4.0,1.0,405.09678886,191.536515839
3,15,true,157.276227586,219.667191738,7.125,89.2154777884,0.5,2.0,0.5,206,219
4,15,true,97.5342955154,91.2956838371,7.125,2.98434583817,0.5,2.0,0.5,100,44
0,16,true,102.218582812,114.573603345,7.125,82.5873368979,0.5,2.125,0.5,122,112
1,16,true,402.451749903,211.827984256,2.125,21.0,1.0,4.25,1.0,401.69021801,213.811842663
2,16,true,402.08271001,194.15661461,2.125,209.0,1.0,4.25,1.0,403.112930453,192.298047732
3,16,true,164.400559683,219.569635755,7.125,89.2154777884,0.5,2.125,0.5,206,219
4,16,true,97.9052451888,84.1803467867,7.125,2.98434583817,0.5,2.125,0.5,100,44
0,17,true,104.325823491,114.299446968,2.125,82.5873368979,0.5,2.25,0.5,122,112
1,17,true,401.759917575,209.818757283,2.125,341.0,1.0,4.5,1.0,402.451749903,211.827984256
2,17,true,402.488179125,196.242572375,2.125,169.0,1.0,4.5,1.0,402.08271001,194.15661461
3,17,true,171.52489178,219.472079772,7.125,89.2154777884,0.5,2.25,0.5,206,219
4,17,true,98.2761948623,77.0650097364,7.125,2.98434583817,0.5,2.25,0.5,100,44
0,18,true,106.457991742,121.097938238,7.125,162.587336898,0.5,2.375,0.5,151,272
1,18,true,399.938437061,208.724301374,2.125,301.0,1.0,4.75,1.0,401.759917575,209.818757283
2,18,true,404.139614293,197.579878206,2.125,129.0,1.0,4.75,1.0,402.488179125,196.242572375
3,18,true,178.649223877,219.374523789,7.125,89.2154777884,0.5,2.375,0.5,206,219
4,18,true,98.6471445357,69.9496726861,7.125,2.98434583817,0.5,2.375,0.5,100,44
0,19,true,108.475054864,127.931464514,7.125,163.554894535,0.5,2.5,0.5,151,272
1,19,true,397.839599337,209.056724612,2.125,261.0,1.0,5.0,1.0,399.938437061,208.724301374
2,19,true,406.264290646,197.542791842,2.125,89.0,1.0,5.0,1.0,404.139614293,197.579878206
3,19,true,185.773555974,219.276967806,7.125,89.2154777884,0.5,2.5,0.5,206,219
4,19,true,99.0180942092,62.8343356358,7.125,2.98434583817,0.5,2.5,0.5,100,44
0,20,true,110.492117986,134.76499079,7.125,163.554894535,0.5,2.625,0.5,151,272
1,20,true,396.4454739,210.66048247,2.125,221.0,1.0,5.25,1.0,397.839599337,209.056724612
2,20,true,407.868048504,196.148666405,2.125,49.0,1.0,5.25,1.0,406.264290646,197.542791842
3,20,true,187.898356775,219.247872162,2.125,89.2154777884,0.5,2.625,0.5,206,219
4,20,true,103.87590864,57.6221130813,7.125,42.9843458382,0.5,2.625,0.5,344,153
0,21,true,112.509181108,141.598517066,7.125,163.554894535,0.5,2.75,0.5,151,272
1,21,true,396.408387536,212.785158822,2.125,181.0,1.0,5.5,1.0,396.4454739,210.66048247
2,21,true,408.200471742,194.049828682,2.125,9.0,1.0,5.5,1.0,407.868048504,196.148666405
3,21,true,193.562890479,223.569756348,7.125,127.342640449,0.5,2.75,0.5,240,259
4,21,true,110.947562467,56.7518618834,7.125,82.9843458382,0.5,2.75,0.5,344,153
0,22,true,114.52624423,148.432043342,7.125,163.554894535,0.5,2.875,0.5,151,272
1,22,true,397.745693367,214.43659399,2.125,141.0,1.0,5.75,1.0,396.408387536,212.785158822
2,22,true,407.106015833,192.228348168,2.125,329.0,1.0,5.75,1.0,408.200471742,194.049828682
3,22,true,199.227424183,227.891640535,7.125,127.342640449,0.5,2.875,0.5,240,259
4,22,true,117.533051264,59.4715975877,7.125,112.440096301,0.5,2.875,0.5,344,153
0,23,true,116.543307352,155.265569617,7.125,163.554894535,0.5,3.0,0.5,151,272
1,23,true,399.831651132,214.842063106,2.125,101.0,1.0,6.0,1.0,397.745693367,214.43659399
2,23,true,405.09678886,191.536515839,2.125,289.0,1.0,6.0,1.0,407.106015833,192.228348168
3,23,true,204.891957886,232.213524721,7.125,127.342640449,0.5,3.0,0.5,240,259
4,23,true,124.118540062,62.191333292,7.125,112.440096301,0.5,3.0,0.5,344,153
0,24,true,118.560370474,162.099095893,7.125,163.554894535,0.5,3.125,0.5,151,272
1,24,true,401.69021801,213.811842663,2.125,61.0,1.0,6.25,1.0,399.831651132,214.842063106
2,24,true,403.112930453,192.298047732,2.125,249.0,1.0,6.25,1.0,405.09678886,191.536515839
3,24,true,210.55649159,236.535408907,7.125,127.342640449,0.5,3.125,0.5,240,259
4,24,true,130.704028859,64.9110689962,7.125,112.440096301,0.5,3.125,0.5,344,153
0,25,true,120.577433595,168.932622169,7.125,163.554894535,0.5,3.25,0.5,151,272
1,25,true,402.451749903,211.827984256,2.125,21.0,1.0,6.5,1.0,401.69021801,213.811842663
2,25,true,402.08271001,194.15661461,2.125,209.0,1.0,6.5,1.0,403.112930453,192.298047732
3,25,true,216.221025294,240.857293093,7.125,127.342640449,0.5,3.25,0.5,240,259
4,25,true,137.289517656,67.6308047005,7.125,112.440096301,0.5,3.25,0.5,344,153
0,26,true,122.594496717,175.766148445,7.125,163.554894535,0.5,3.375,0.5,151,272
1,26,true,401.759917575,209.818757283,2.125,341.0,1.0,6.75,1.0,402.451749903,211.827984256
2,26,true,402.488179125,196.242572375,2.125,169.0,1.0,6.75,1.0,402.08271001,194.15661461
3,26,true,221.885558997,245.17917728,7.125,127.342640449,0.5,3.375,0.5,240,259
4,26,true,143.875006453,70.3505404048,7.125,112.440096301,0.5,3.375,0.5,344,153
0,27,true,124.611559839,182.599674721,7.125,163.554894535,0.5,3.5,0.5,151,272
1,27,true,399.938437061,208.724301374,2.125,301.0,1.0,7.0,1.0,401.759917575,209.818757283
2,27,true,404.139614293,197.579878206,2.125,129.0,1.0,7.0,1.0,402.488179125,196.242572375
3,27,true,227.550092701,249.501061466,7.125,127.342640449,0.5,3.5,0.5,240,259
4,27,true,150.460495251,73.070276109,7.125,112.440096301,0.5,3.5,0.5,344,153
0,28,true,126.628622961,189.433200996,7.125,163.554894535,0.5,3.625,0.5,151,272
1,28,true,397.839599337,209.056724612,2.125,261.0,1.0,7.25,1.0,399.938437061,208.724301374
2,28,true,406.264290646,197.542791842,2.125,89.0,1.0,7.25,1.0,404.139614293,197.579878206
3,28,true,229.239515034,250.790044469,2.125,127.342640449,0.5,3.625,0.5,240,259
4,28,true,157.045984048,75.7900118133,7.125,112.440096301,0.5,3.625,0.5,344,153
0,29,true,128.645686083,196.266727272,7.125,163.554894535,0.5,3.75,0.5,151,272
1,29,true,396.4454739,210.66048247,2.125,221.0,1.0,7.5,1.0,397.839599337,209.056724612
2,29,true,407.868048504,196.148666405,2.125,49.0,1.0,7.5,1.0,406.264290646,197.542791842
3,29,true,236.356853206,250.459707754,7.125,87.342640449,0.5,3.75,0.5,286,236
4,29,true,163.631472845,78.5097475176,7.125,112.440096301,0.5,3.75,0.5,344,153
0,30,true,130.662749205,203.100253548,7.125,163.554894535,0.5,3.875,0.5,151,272
1,30,true,396.408387536,212.785158822,2.125,181.0,1.0,7.75,1.0,396.4454739,210.66048247
2,30,true,408.200471742,194.049828682,2.125,9.0,1.0,7.75,1.0,407.868048504,196.148666405
3,30,true,243.197576645,248.467189791,7.125,73.7605851595,0.5,3.875,0.5,286,236
4,30,true,170.216961643,81.2294832218,7.125,112.440096301,0.5,3.875,0.5,344,153
0,31,true,132.679812327,209.933779824,7.125,163.554894535,0.5,4.0,0.5,151,272
1,31,true,397.745693367,214.43659399,2.125,141.0,1.0,8.0,1.0,396.408387536,212.785158822
2,31,true,407.106015833,192.228348168,2.125,329.0,1.0,8.0,1.0,408.200471742,194.049828682
3,31,true,250.038300083,246.474671827,7.125,73.7605851595,0.5,4.0,0.5,286,236
4,31,true,176.80245044,83.9492189261,7.125,112.440096301,0.5,4.0,0.5,344,153
0,32,true,134.696875449,216.7673061,7.125,163.554894535,0.5,4.125,0.5,151,272
1,32,true,399.831651132,214.842063106,2.125,101.0,1.0,8.25,1.0,397.745693367,214.43659399
2,32,true,405.09678886,191.536515839,2.125,289.0,1.0,8.25,1.0,407.106015833,192.228348168
3,32,true,256.879023522,244.482153864,7.125,73.7605851595,0.5,4.125,0.5,286,236
4,32,true,183.387939237,86.6689546304,7.125,112.440096301,0.5,4.125,0.5,344,153
0,33,true,136.713938571,223.600832375,7.125,163.554894535,0.5,4.25,0.5,151,272
1,33,true,401.69021801,213.811842663,2.125,61.0,1.0,8.5,1.0,399.831651132,214.842063106
2,33,true,403.112930453,192.298047732,2.125,249.0,1.0,8.5,1.0,405.09678886,191.536515839
3,33,true,263.719746961,242.4896359,7.125,73.7605851595,0.5,4.25,0.5,286,236
4,33,true,189.973428034,89.3886903346,7.125,112.440096301,0.5,4.25,0.5,344,153
0,34,true,138.731001693,230.434358651,7.125,163.554894535,0.5,4.375,0.5,151,272
1,34,true,402.451749903,211.827984256,2.125,21.0,1.0,8.75,1.0,401.69021801,213.811842663
2,34,true,402.08271001,194.15661461,2.125,209.0,1.0,8.75,1.0,403.112930453,192.298047732
3,34,true,270.560470399,240.497117937,7.125,73.7605851595,0.5,4.375,0.5,286,236
4,34,true,196.558916832,92.1084260389,7.125,112.440096301,0.5,4.375,0.5,344,153
0,35,true,140.748064815,237.267884927,7.125,163.554894535,0.5,4.5,0.5,151,272
1,35,true,401.759917575,209.818757283,2.125,341.0,1.0,9.0,1.0,402.451749903,211.827984256
2,35,true,402.488179125,196.242572375,2.125,169.0,1.0,9.0,1.0,402.08271001,194.15661461
3,35,true,274.520002718,234.573628355,7.125,33.7605851595,0.5,4.5,0.5,216,98
4,35,true,203.144405629,94.8281617432,7.125,112.440096301,0.5,4.5,0.5,344,153
0,36,true,142.765127937,244.101411203,7.125,163.554894535,0.5,4.625,0.5,151,272
1,36,true,399.938437061,208.724301374,2.125,301.0,1.0,9.25,1.0,401.759917575,209.818757283
2,36,true,404.139614293,197.579878206,2.125,129.0,1.0,9.25,1.0,402.488179125,196.242572375
3,36,true,273.745634738,227.490833763,7.125,353.760585159,0.5,4.625,0.5,216,98
4,36,true,209.729894426,97.5478974474,7.125,112.440096301,0.5,4.625,0.5,344,153
0,37,true,144.782191059,250.934937478,7.125,163.554894535,0.5,4.75,0.5,151,272
1,37,true,397.839599337,209.056724612,2.125,261.0,1.0,9.5,1.0,399.938437061,208.724301374
2,37,true,406.264290646,197.542791842,2.125,89.0,1.0,9.5,1.0,404.139614293,197.579878206
3,37,true,270.843753051,220.983552636,7.125,335.965814301,0.5,4.75,0.5,216,98
4,37,true,216.315383223,100.267633152,7.125,112.440096301,0.5,4.75,0.5,344,153
0,38,true,146.799254181,257.768463754,7.125,163.554894535,0.5,4.875,0.5,151,272
1,38,true,396.4454739,210.66048247,2.125,221.0,1.0,9.75,1.0,397.839599337,209.056724612
2,38,true,407.868048504,196.148666405,2.125,49.0,1.0,9.75,1.0,406.264290646,197.542791842
3,38,true,267.941871364,214.476271508,7.125,335.965814301,0.5,4.875,0.5,216,98
4,38,true,222.900872021,102.987368856,7.125,112.440096301,0.5,4.875,0.5,344,153
0,39,true,147.400834411,259.806532994,2.125,163.554894535,0.5,5.0,0.5,151,272
1,39,true,396.408387536,212.785158822,2.125,181.0,1.0,10.0,1.0,396.4454739,210.66048247
2,39,true,408.200471742,194.049828682,2.125,9.0,1.0,10.0,1.0,407.868048504,196.148666405
3,39,true,265.039989677,207.96899038,7.125,335.965814301,0.5,5.0,0.5,216,98
4,39,true,229.486360818,105.70710456,7.125,112.440096301,0.5,5.0,0.5,344,153
0,40,true,148.00241464,261.844602235,2.125,163.554894535,0.5,5.125,0.5,151,272
1,40,true,397.745693367,214.43659399,2.125,141.0,1.0,10.25,1.0,396.408387536,212.785158822
2,40,true,407.106015833,192.228348168,2.125,329.0,1.0,10.25,1.0,408.200471742,194.049828682
3,40,true,262.13810799,201.461709253,7.125,335.965814301,0.5,5.125,0.5,216,98
4,40,true,236.071849615,108.426840265,7.125,112.440096301,0.5,5.125,0.5,344,153
0,41,true,155.12424891,261.632230799,7.125,88.2919593859,0.5,5.25,0.5,344,256
1,41,true,399.831651132,214.842063106,2.125,101.0,1.0,10.5,1.0,397.745693367,214.43659399
2,41,true,405.09678886,191.536515839,2.125,289.0,1.0,10.5,1.0,407.106015833,192.228348168
3,41,true,259.236226303,194.954428125,7.125,335.965814301,0.5,5.25,0.5,216,98
4,41,true,242.657338412,111.146575969,7.125,112.440096301,0.5,5.25,0.5,344,153
