pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,201.111763147,221.885637729,2.125,221.0,0.1,0.0015625,,
1,0,true,352.525815657,86.5694805701,2.125,147.0,0.0,0.0,,
2,0,true,29.988219264,264.244682062,2.125,72.0,0.1,0.0015625,,
0,1,true,193.987113593,221.81497136,7.125,270.568273836,0.1,0.003125,11,220
1,1,true,352.525815657,79.4444805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,1,true,35.513582267,259.746239144,7.125,50.8494374493,0.1,0.003125,287,55
0,2,true,186.862464039,221.744304991,7.125,270.568273836,0.1,0.0046875,11,220
1,2,true,352.525815657,72.3194805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,2,true,41.03894527,255.247796226,7.125,50.8494374493,0.1,0.0046875,287,55
0,3,true,179.737814485,221.673638622,7.125,270.568273836,0.1,0.00625,11,220
1,3,true,352.525815657,65.1944805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,3,true,46.564308273,250.749353308,7.125,50.8494374493,0.1,0.00625,287,55
0,4,true,172.613164931,221.602972253,7.125,270.568273836,0.1,0.0078125,11,220
1,4,true,352.525815657,58.0694805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,4,true,52.0896712761,246.250910391,7.125,50.8494374493,0.1,0.0078125,287,55
0,5,true,165.488515378,221.532305884,7.125,270.568273836,0.1,0.009375,11,220
1,5,true,352.525815657,50.9444805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,5,true,57.6150342791,241.752467473,7.125,50.8494374493,0.1,0.009375,287,55
0,6,true,158.363865824,221.461639515,7.125,270.568273836,0.1,0.0109375,11,220
1,6,true,352.525815657,43.8194805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,6,true,63.1403972821,237.254024555,7.125,50.8494374493,0.1,0.0109375,287,55
0,7,true,151.23921627,221.390973146,7.125,270.568273836,0.1,0.0125,11,220
1,7,true,352.525815657,36.6944805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,7,true,68.6657602852,232.755581637,7.125,50.8494374493,0.1,0.0125,287,55
0,8,true,144.114566716,221.320306777,7.125,270.568273836,0.1,0.0140625,11,220
1,8,true,352.525815657,29.5694805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,8,true,74.1911232882,228.257138719,7.125,50.8494374493,0.1,0.0140625,287,55
0,9,true,136.989917163,221.249640408,7.125,270.568273836,0.1,0.015625,11,220
1,9,true,352.525815657,22.4444805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,9,true,79.7164862912,223.758695801,7.125,50.8494374493,0.1,0.015625,287,55
0,10,true,129.865267609,221.178974039,7.125,270.568273836,0.1,0.0171875,11,220
1,10,true,352.525815657,15.3194805701,7.125,0.0,0.0,0.0,352.525815657,2.5
2,10,true,85.2418492943,219.260252884,7.125,50.8494374493,0.1,0.0171875,287,55
0,11,true,122.740618055,221.10830767,7.125,270.568273836,0.1,0.01875,11,220
1,11,true,352.525815657,8.19448057006,7.125,0.0,0.0,0.0,352.525815657,2.5
2,11,true,90.7672122973,214.761809966,7.125,50.8494374493,0.1,0.01875,287,55
0,12,true,115.615968501,221.037641301,7.125,270.568273836,0.1,0.0203125,11,220
1,12,true,345.401282863,8.11288729008,7.125,270.656147757,0.1,0.0015625,2.62436924815,4.18725546402
