pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0,0,true,98.8739215635,51.8021022043,2.125,212.0,0.5,0.125,0.5,,
1,0,true,400.338015036,208.239574529,2.125,318.0,1.0,0.25,0.5,,
2,0,true,402.229206771,198.351732947,2.125,187.0,1.0,0.25,0.5,,
3,0,true,77.0258151691,198.489681219,2.125,7.0,0.5,0.125,0.5,,
4,0,true,83.575705418,196.368469199,2.125,280.0,0.5,0.125,0.5,,
0,1,true,104.168828445,56.5696577746,7.125,132.0,0.5,0.25,0.5,336,19
1,1,true,393.282355046,207.247966185,7.125,278.0,1.0,0.5,0.5,293.69674332,280.0
2,1,true,397.018311647,203.210971262,7.125,227.0,1.0,0.5,0.5,202.91974081,0.0
3,1,true,82.2367102931,193.630442903,7.125,47.0,0.5,0.25,0.5,484.0,119.883957127
4,1,true,78.995843699,190.910402542,7.125,320.0,0.5,0.25,0.5,484.0,199.276352974
0,2,true,111.202072793,55.4298775569,7.125,80.7948942224,0.5,0.375,0.5,336,19
1,2,true,387.240012361,211.023640942,7.125,238.0,1.0,0.75,0.5,293.69674332,280.0
2,2,true,389.903076211,203.583864951,7.125,267.0,1.0,0.75,0.5,202.91974081,0.0
3,2,true,89.2493169958,192.369898484,7.125,79.8096767978,0.5,0.375,0.5,484.0,119.883957127
4,2,true,78.995843699,183.785402542,7.125,0.0,0.5,0.375,0.5,484.0,199.276352974
0,3,true,118.235317141,54.2900973392,7.125,80.7948942224,0.5,0.5,0.5,336,19
1,3,true,381.723860621,215.533374303,7.125,230.732262494,1.0,1.0,0.5,293.69674332,280.0
2,3,true,384.212798202,199.295932911,7.125,307.0,1.0,1.0,0.5,202.91974081,0.0
3,3,true,96.2619236984,191.109354064,7.125,79.8096767978,0.5,0.5,0.5,484.0,119.883957127
4,3,true,83.575705418,178.327335884,7.125,40.0,0.5,0.5,0.5,484.0,199.276352974
0,4,true,125.268561488,53.1503171215,7.125,80.7948942224,0.5,0.625,0.5,336,19
1,4,true,376.207708882,220.043107664,7.125,230.732262494,0.5,1.125,0.5,293.69674332,280.0
2,4,true,379.515868903,193.938276692,7.125,318.759728511,1.0,1.25,0.5,202.91974081,0.0
3,4,true,103.274530401,189.848809644,7.125,79.8096767978,0.5,0.625,0.5,484.0,119.883957127
4,4,true,90.5924606582,177.090092619,7.125,80.0,0.5,0.625,0.5,484.0,199.276352974
0,5,true,132.301805836,52.0105369037,7.125,80.7948942224,0.5,0.75,0.5,336,19
1,5,true,370.691557142,224.552841024,7.125,230.732262494,0.5,1.25,0.5,293.69674332,280.0
2,5,true,374.818939603,188.580620474,7.125,318.759728511,0.5,1.375,0.5,202.91974081,0.0
3,5,true,110.287137104,188.588265225,7.125,79.8096767978,0.5,0.75,0.5,484.0,119.883957127
4,5,true,97.706629383,177.482811799,7.125,93.1596576068,0.5,0.75,0.5,484.0,199.276352974
0,6,true,139.335050184,50.870756686,7.125,80.7948942224,0.5,0.875,0.5,336,19
1,6,true,365.175405402,229.062574385,7.125,230.732262494,0.5,1.375,0.5,293.69674332,280.0
2,6,true,370.122010304,183.222964255,7.125,318.759728511,0.5,1.5,0.5,202.91974081,0.0
3,6,true,117.299743806,187.327720805,7.125,79.8096767978,0.5,0.875,0.5,484.0,119.883957127
4,6,true,104.820798108,177.87553098,7.125,93.1596576068,0.5,0.875,0.5,484.0,199.276352974
0,7,true,146.368294532,49.7309764683,7.125,80.7948942224,0.5,1.0,0.5,336,19
1,7,true,359.659253663,233.572307746,7.125,230.732262494,0.5,1.5,0.5,293.69674332,280.0
2,7,true,365.425081004,177.865308037,7.125,318.759728511,0.5,1.625,0.5,202.91974081,0.0
3,7,true,124.312350509,186.067176385,7.125,79.8096767978,0.5,1.0,0.5,484.0,119.883957127
4,7,true,111.934966833,178.26825016,7.125,93.1596576068,0.5,1.0,0.5,484.0,199.276352974
0,8,true,153.401538879,48.5911962506,7.125,80.7948942224,0.5,1.125,0.5,336,19
1,8,true,354.143101923,238.082041106,7.125,230.732262494,0.5,1.625,0.5,293.69674332,280.0
2,8,true,360.728151705,172.507651818,7.125,318.759728511,0.5,1.75,0.5,202.91974081,0.0
3,8,true,131.324957212,184.806631965,7.125,79.8096767978,0.5,1.125,0.5,484.0,119.883957127
4,8,true,119.049135557,178.660969341,7.125,93.1596576068,0.5,1.125,0.5,484.0,199.276352974
0,9,true,160.434783227,47.4514160328,7.125,80.7948942224,0.5,1.25,0.5,336,19
1,9,true,348.626950183,242.591774467,7.125,230.732262494,0.5,1.75,0.5,293.69674332,280.0
2,9,true,356.031222405,167.1499956,7.125,318.759728511,0.5,1.875,0.5,202.91974081,0.0
3,9,true,138.337563914,183.546087546,7.125,79.8096767978,0.5,1.25,0.5,484.0,119.883957127
4,9,true,126.163304282,179.053688522,7.125,93.1596576068,0.5,1.25,0.5,484.0,199.276352974
0,10,true,167.468027575,46.3116358151,7.125,80.7948942224,0.5,1.375,0.5,336,19
1,10,true,343.110798443,247.101507828,7.125,230.732262494,0.5,1.875,0.5,293.69674332,280.0
2,10,true,351.334293106,161.792339381,7.125,318.759728511,0.5,2.0,0.5,202.91974081,0.0
3,10,true,145.350170617,182.285543126,7.125,79.8096767978,0.5,1.375,0.5,484.0,119.883957127
4,10,true,133.277473007,179.446407702,7.125,93.1596576068,0.5,1.375,0.5,484.0,199.276352974
0,11,true,174.501271923,45.1718555974,7.125,80.7948942224,0.5,1.5,0.5,336,19
