pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,426.842926306,160.746501875,2.125,116.0,0.1,0.0015625,,
1,0,true,185.836382559,268.073183673,2.125,163.0,0.0,0.0,,
2,0,true,327.920386126,27.059842693,2.125,38.0,0.1,0.0015625,,
0,1,true,427.580709678,153.659803018,7.125,5.94354838018,0.1,0.003125,434,92
1,1,true,192.958312053,268.282337396,7.125,91.6821540087,0.1,0.0015625,481.514920251,276.756542151
2,1,true,326.759752918,34.0896759453,7.125,189.375024129,0.1,0.003125,303,178
0,2,true,428.31849305,146.57310416,7.125,5.94354838018,0.1,0.0046875,434,92
1,2,true,200.080641912,268.477381933,7.125,91.5686491224,0.1,0.003125,481.777918174,276.191643407
2,2,true,325.599119709,41.1195091977,7.125,189.375024129,0.1,0.0046875,303,178
0,3,true,429.056276422,139.486405303,7.125,5.94354838018,0.1,0.00625,434,92
1,3,true,207.203556736,268.649746142,7.125,91.3862042476,0.1,0.0046875,481.49392094,275.287175202
2,3,true,324.438486501,48.14934245,7.125,189.375024129,0.1,0.00625,303,178
0,4,true,429.794059794,132.399706445,7.125,5.94354838018,0.1,0.0078125,434,92
1,4,true,214.325086046,268.872109096,7.125,91.7884249579,0.1,0.00625,479.343107227,277.14704377
2,4,true,323.277853293,55.1791757023,7.125,189.375024129,0.1,0.0078125,303,178
0,5,true,424.730898846,127.386720687,7.125,314.714692244,0.1,0.009375,390,93
1,5,true,221.448939457,268.999927632,7.125,91.0279095525,0.1,0.0078125,479.038799735,273.621690195
2,5,true,322.117220084,62.2090089547,7.125,189.375024129,0.1,0.009375,303,178
0,6,true,419.667737898,122.373734928,7.125,314.714692244,0.1,0.0109375,390,93
1,6,true,228.572195421,269.157564797,7.125,91.2677447393,0.1,0.009375,479.601391326,274.712823659
2,6,true,320.956586876,69.238842207,7.125,189.375024129,0.1,0.0109375,303,178
0,7,true,415.148171859,116.865636543,7.125,320.630056751,0.1,0.0125,325,7
1,7,true,235.69433502,269.359437336,7.125,91.6235779018,0.1,0.0109375,481.035298967,276.313471669
2,7,true,319.795953667,76.2686754593,7.125,189.375024129,0.1,0.0125,303,178
0,8,true,410.62860582,111.357538158,7.125,320.630056751,0.1,0.0140625,325,7
1,8,true,242.817377985,269.526422118,7.125,91.3429332389,0.1,0.0125,479.707880756,275.079822424
2,8,true,318.635320459,83.2985087117,7.125,189.375024129,0.1,0.0140625,303,178
0,9,true,406.10903978,105.849439774,7.125,320.630056751,0.1,0.015625,325,7
1,9,true,249.939553601,269.727019972,7.125,91.6133234157,0.1,0.0140625,482.38382533,276.273870908
2,9,true,317.474687251,90.328341964,7.125,189.375024129,0.1,0.015625,303,178
0,10,true,401.589473741,100.341341389,7.125,320.630056751,0.1,0.0171875,325,7
1,10,true,257.06295273,269.878049254,7.125,91.2145948843,0.1,0.015625,479.994003954,274.604601262
2,10,true,316.314054042,97.3581752163,7.125,189.375024129,0.1,0.0171875,303,178
0,11,true,397.069907702,94.8332430041,7.125,320.630056751,0.1,0.01875,325,7
1,11,true,264.187189557,269.982330797,7.125,90.8386113177,0.1,0.0171875,477.527180967,273.10511069
2,11,true,315.153420834,104.388008469,7.125,189.375024129,0.1,0.01875,303,178
0,12,true,392.550341663,89.3251446193,7.125,320.630056751,0.1,0.0203125,325,7
1,12,true,271.310566269,270.134413709,7.125,91.2230695885,0.1,0.01875,479.027336372,274.569132327
2,12,true,313.992787625,111.417841721,7.125,189.375024129,0.1,0.0203125,303,178
0,13,true,388.030775623,83.8170462345,7.125,320.630056751,0.1,0.021875,325,7
1,13,true,278.432434573,270.345640745,7.125,91.6988338429,0.1,0.0203125,480.725162136,276.345427792
2,13,true,312.832154417,118.447674973,7.125,189.375024129,0.1,0.021875,303,178
0,14,true,383.511209584,78.3089478497,7.125,320.630056751,0.1,0.0234375,325,7
1,14,true,285.556059638,270.485608378,7.125,91.1256239336,0.1,0.021875,479.879754885,274.303752566
2,14,true,311.671521209,125.477508226,7.125,189.375024129,0.1,0.0234375,303,178
0,15,true,378.991643545,72.800849465,7.125,320.630056751,0.1,0.025,325,7
1,15,true,292.67674764,270.733453859,7.125,91.9934547946,0.1,0.0234375,478.737856207,277.209570346
2,15,true,310.510888,132.507341478,7.125,189.375024129,0.1,0.025,303,178
0,16,true,374.472077505,67.2927510802,7.125,320.630056751,0.1,0.0265625,325,7
