pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,104.463088123,48.0251378432,2.125,277.0,0.2,,,
1,0,true,415.946128865,33.1061299156,2.125,207.0,0.2,,,
2,0,true,14.7209525386,62.3647573244,2.125,263.0,0.2,,,
3,0,true,309.574986558,28.9367128864,2.125,190.0,0.2,,,
4,0,true,80.8554066457,23.035292102,2.125,159.0,0.2,,,
0,1,true,107.095261627,54.6461111584,7.125,158.319663719,0.2,,178,233
1,1,true,422.672657017,35.4554796164,7.125,109.252588167,0.2,,450,45
2,1,true,15.5027749364,69.4467329484,7.125,173.700279673,0.2,,34,237
3,1,true,309.574986558,21.8117128864,7.125,0.0,0.2,,309.574986558,2.5
4,1,true,73.8270868007,21.865529239,7.125,279.44944224,0.2,,17.7351656913,12.529834838
0,2,true,109.727435132,61.2670844736,7.125,158.319663719,0.2,,178,233
1,2,true,429.39918517,37.8048293172,7.125,109.252588167,0.2,,450,45
2,2,true,16.2845973342,76.5287085723,7.125,173.700279673,0.2,,34,237
3,2,true,309.574986558,14.6867128864,7.125,0.0,0.2,,309.574986558,2.5
4,2,true,66.7987669556,20.695766376,7.125,279.44944224,0.2,,17.7351656913,12.529834838
0,3,true,112.359608637,67.8880577888,7.125,158.319663719,0.2,,178,233
1,3,true,436.125713322,40.154179018,7.125,109.252588167,0.2,,450,45
2,3,true,17.0664197321,83.6106841963,7.125,173.700279673,0.2,,34,237
3,3,true,309.574986558,14.6867128864,0,0.0,1.0,,309.574986558,14.6867128864
4,3,true,59.7704471106,19.5260035131,7.125,279.44944224,0.2,,17.7351656913,12.529834838
0,4,true,114.991782142,74.509031104,7.125,158.319663719,0.2,,178,233
1,4,true,442.852241474,42.5035287188,7.125,109.252588167,0.2,,450,45
2,4,true,17.8482421299,90.6926598202,7.125,173.700279673,0.2,,34,237
3,4,true,309.574986558,14.6867128864,0,0.0,1.0,,309.574986558,14.6867128864
4,4,true,52.7421272655,18.3562406501,7.125,279.44944224,0.2,,17.7351656913,12.529834838
0,5,true,117.623955647,81.1300044192,7.125,158.319663719,0.2,,178,233
1,5,true,449.578769626,44.8528784196,7.125,109.252588167,0.2,,450,45
2,5,true,18.6300645277,97.7746354442,7.125,173.700279673,0.2,,34,237
3,5,true,309.574986558,14.6867128864,0,0.0,1.0,,309.574986558,14.6867128864
4,5,true,45.7138074205,17.1864777872,7.125,279.44944224,0.2,,17.7351656913,12.529834838
0,6,true,120.256129151,87.7509777344,7.125,158.319663719,0.2,,178,233
1,6,true,443.518364006,48.5994913857,7.125,238.275163089,0.2,,197,201
2,6,true,19.4118869256,104.856611068,7.125,173.700279673,0.2,,34,237
3,6,true,309.574986558,14.6867128864,0,0.0,1.0,,309.574986558,14.6867128864
4,6,true,38.6854875754,16.0167149242,7.125,279.44944224,0.2,,17.7351656913,12.529834838
0,7,true,122.888302656,94.3719510496,7.125,158.319663719,0.2,,178,233
1,7,true,437.457958386,52.3461043517,7.125,238.275163089,0.2,,197,201
2,7,true,20.1937093234,111.938586692,7.125,173.700279673,0.2,,34,237
3,7,true,309.574986558,14.6867128864,0,0.0,1.0,,309.574986558,14.6867128864
4,7,true,31.6571677303,14.8469520612,7.125,279.44944224,0.2,,17.7351656913,12.529834838
0,8,true,125.520476161,100.992924365,7.125,158.319663719,0.2,,178,233
1,8,true,431.397552765,56.0927173177,7.125,238.275163089,0.2,,197,201
2,8,true,20.9755317212,119.020562316,7.125,173.700279673,0.2,,34,237
3,8,true,309.574986558,14.6867128864,0,0.0,1.0,,309.574986558,14.6867128864
4,8,true,24.6288478853,13.6771891983,7.125,279.44944224,0.2,,17.7351656913,12.529834838
0,9,true,128.152649666,107.61389768,7.125,158.319663719,0.2,,178,233
1,9,true,425.337147145,59.8393302837,7.125,238.275163089,0.2,,197,201
2,9,true,21.7573541191,126.10253794,7.125,173.700279673,0.2,,34,237
