pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
0,0,true,247.427663555,112.282683741,2.125,61.0,0.2,,,,False,False
1,0,true,436.865561198,174.235477526,2.125,183.0,0.2,,,,False,False
2,0,true,260.34284872,38.594019679,2.125,77.0,0.2,,,,False,False
3,0,true,97.5187519424,20.9858385855,2.125,243.0,0.2,,,,False,False
4,0,true,83.7013366802,273.329352055,2.125,337.0,0.2,,,,False,False
0,1,true,240.39313532,111.150854464,7.125,279.140339981,0.2,,53,81,False,False
1,1,true,429.957582547,175.980601005,7.125,255.822325998,0.2,,228,227,False,False
2,1,true,267.458915859,38.2373497191,7.125,87.1306346696,0.2,,352,34,False,False
3,1,true,104.643691792,20.9565615966,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,1,true,90.8242565431,273.157196234,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,2,true,233.358607086,110.019025186,7.125,279.140339981,0.2,,53,81,False,False
1,2,true,423.049603896,177.725724484,7.125,255.822325998,0.2,,228,227,False,False
2,2,true,274.574982999,37.8806797591,7.125,87.1306346696,0.2,,352,34,False,False
3,2,true,111.768631641,20.9272846077,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,2,true,97.947176406,272.985040412,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,3,true,226.324078851,108.887195908,7.125,279.140339981,0.2,,53,81,False,False
1,3,true,416.141625245,179.470847963,7.125,255.822325998,0.2,,228,227,False,False
2,3,true,281.691050139,37.5240097991,7.125,87.1306346696,0.2,,352,34,False,False
3,3,true,118.893571491,20.8980076188,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,3,true,105.070096269,272.812884591,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,4,true,219.289550616,107.75536663,7.125,279.140339981,0.2,,53,81,False,False
1,4,true,409.233646594,181.215971442,7.125,255.822325998,0.2,,228,227,False,False
2,4,true,288.807117279,37.1673398392,7.125,87.1306346696,0.2,,352,34,False,False
3,4,true,126.01851134,20.86873063,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,4,true,112.193016132,272.64072877,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,5,true,212.255022381,106.623537352,7.125,279.140339981,0.2,,53,81,False,False
1,5,true,402.325667943,182.961094921,7.125,255.822325998,0.2,,228,227,False,False
2,5,true,295.923184419,36.8106698792,7.125,87.1306346696,0.2,,352,34,False,False
3,5,true,133.14345119,20.8394536411,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,5,true,119.315935995,272.468572949,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,6,true,205.220494147,105.491708074,7.125,279.140339981,0.2,,53,81,False,False
1,6,true,395.417689292,184.706218399,7.125,255.822325998,0.2,,228,227,False,False
2,6,true,303.039251559,36.4539999192,7.125,87.1306346696,0.2,,352,34,False,False
3,6,true,140.268391039,20.8101766522,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,6,true,126.438855858,272.296417128,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,7,true,198.185965912,104.359878796,7.125,279.140339981,0.2,,53,81,False,False
1,7,true,388.509710641,186.451341878,7.125,255.822325998,0.2,,228,227,False,False
2,7,true,310.155318699,36.0973299593,7.125,87.1306346696,0.2,,352,34,False,False
3,7,true,147.393330888,20.7808996633,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,7,true,133.56177572,272.124261306,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,8,true,191.151437677,103.228049519,7.125,279.140339981,0.2,,53,81,False,False
1,8,true,381.60173199,188.196465357,7.125,255.822325998,0.2,,228,227,False,False
2,8,true,317.271385839,35.7406599993,7.125,87.1306346696,0.2,,352,34,False,False
3,8,true,154.518270738,20.7516226744,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,8,true,140.684695583,271.952105485,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,9,true,184.116909442,102.096220241,7.125,279.140339981,0.2,,53,81,False,False
1,9,true,374.693753339,189.941588836,7.125,255.822325998,0.2,,228,227,False,False
2,9,true,324.387452979,35.3839900393,7.125,87.1306346696,0.2,,352,34,False,False
3,9,true,161.643210587,20.7223456855,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
4,9,true,147.807615446,271.779949664,7.125,88.6154720009,0.2,,468.897386857,264.019442129,False,False
0,10,true,177.082381208,100.964390963,7.125,279.140339981,0.2,,53,81,False,False
1,10,true,367.785774688,191.686712315,7.125,255.822325998,0.2,,228,227,False,False
2,10,true,331.503520119,35.0273200793,7.125,87.1306346696,0.2,,352,34,False,False
3,10,true,168.768150437,20.6930686967,7.125,89.7645680533,0.2,,474.923360298,19.4350506832,False,False
