pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,122.837652821,253.088816198,2.125,60.0,0.2,,,
1,0,true,467.039438269,136.622181577,2.125,275.0,0.2,,,
2,0,true,236.912999854,67.4533745554,2.125,182.0,0.2,,,
3,0,true,459.685237566,34.9383360137,2.125,54.0,0.2,,,
4,0,true,22.624765343,132.41436457,2.125,32.0,0.2,,,
0,1,true,129.664816937,251.050322849,7.125,73.375129017,0.2,,448,156
1,1,true,460.649567069,133.470170939,7.125,296.256309841,0.2,,259,34
2,1,true,232.300302796,72.8837199269,7.125,220.345563819,0.2,,160,158
3,1,true,460.000798489,42.0563446049,7.125,177.461582429,0.2,,469.45336207,255.274850945
4,1,true,21.8004225002,125.337212327,7.125,353.35615753,0.2,,10.3450487098,26.9904807139
0,2,true,136.491981053,249.0118295,7.125,73.375129017,0.2,,448,156
1,2,true,454.25969587,130.318160302,7.125,296.256309841,0.2,,259,34
2,2,true,227.687605738,78.3140652985,7.125,220.345563819,0.2,,160,158
3,2,true,460.316359413,49.174353196,7.125,177.461582429,0.2,,469.45336207,255.274850945
4,2,true,20.9760796573,118.260060083,7.125,353.35615753,0.2,,10.3450487098,26.9904807139
0,3,true,143.319145169,246.973336151,7.125,73.375129017,0.2,,448,156
1,3,true,447.869824671,127.166149664,7.125,296.256309841,0.2,,259,34
2,3,true,223.074908681,83.74441067,7.125,220.345563819,0.2,,160,158
3,3,true,460.631920336,56.2923617872,7.125,177.461582429,0.2,,469.45336207,255.274850945
4,3,true,20.1517368145,111.18290784,7.125,353.35615753,0.2,,10.3450487098,26.9904807139
0,4,true,150.146309285,244.934842803,7.125,73.375129017,0.2,,448,156
1,4,true,441.479953472,124.014139027,7.125,296.256309841,0.2,,259,34
2,4,true,218.462211623,89.1747560416,7.125,220.345563819,0.2,,160,158
3,4,true,460.94748126,63.4103703783,7.125,177.461582429,0.2,,469.45336207,255.274850945
4,4,true,19.3273939717,104.105755596,7.125,353.35615753,0.2,,10.3450487098,26.9904807139
0,5,true,156.973473401,242.896349454,7.125,73.375129017,0.2,,448,156
1,5,true,435.090082273,120.862128389,7.125,296.256309841,0.2,,259,34
2,5,true,213.849514565,94.6051014131,7.125,220.345563819,0.2,,160,158
3,5,true,461.263042183,70.5283789694,7.125,177.461582429,0.2,,469.45336207,255.274850945
4,5,true,18.5030511289,97.0286033529,7.125,353.35615753,0.2,,10.3450487098,26.9904807139
0,6,true,163.800637517,240.857856105,7.125,73.375129017,0.2,,448,156
1,6,true,428.700211074,117.710117752,7.125,296.256309841,0.2,,259,34
2,6,true,209.236817508,100.035446785,7.125,220.345563819,0.2,,160,158
3,6,true,461.578603107,77.6463875606,7.125,177.461582429,0.2,,469.45336207,255.274850945
4,6,true,17.678708286,89.9514511094,7.125,353.35615753,0.2,,10.3450487098,26.9904807139
0,7,true,170.627801633,238.819362756,7.125,73.375129017,0.2,,448,156
