pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,235.637091154,11.9681960627,2.125,76.0,0.2,,,
1,0,true,18.1787683162,138.388963001,2.125,318.0,0.2,,,
2,0,true,20.6345071096,220.728146054,2.125,310.0,0.2,,,
3,0,true,191.478947974,132.672665109,2.125,33.0,0.2,,,
4,0,true,229.151042518,30.4895019925,2.125,320.0,0.2,,,
0,1,true,242.758929522,11.7559620795,7.125,88.2930651991,0.2,,461.456175462,5.23868589185
1,1,true,17.8590023397,131.271142076,7.125,357.427733783,0.2,,12.3597998442,8.86181317583
2,1,true,20.8231523025,227.850648282,7.125,178.482829953,0.2,,21.6645735484,259.619412742
3,1,true,198.145232509,130.157456271,7.125,69.3283607331,0.2,,453,34
4,1,true,230.285840808,32.2861260051,2.125,147.722340766,0.2,,232,35
0,2,true,249.880767889,11.5437280964,7.125,88.2930651991,0.2,,461.456175462,5.23868589185
1,2,true,17.5392363631,124.153321151,7.125,357.427733783,0.2,,12.3597998442,8.86181317583
2,2,true,21.0117974954,234.97315051,7.125,178.482829953,0.2,,21.6645735484,259.619412742
3,2,true,204.811517044,127.642247432,7.125,69.3283607331,0.2,,453,34
4,2,true,231.420639097,34.0827500177,2.125,147.722340766,0.2,,232,35
0,3,true,257.002606257,11.3314941133,7.125,88.2930651991,0.2,,461.456175462,5.23868589185
1,3,true,17.2194703866,117.035500226,7.125,357.427733783,0.2,,12.3597998442,8.86181317583
2,3,true,21.2004426882,242.095652739,7.125,178.482829953,0.2,,21.6645735484,259.619412742
3,3,true,211.477801579,125.127038594,7.125,69.3283607331,0.2,,453,34
4,3,true,233.029602158,41.0237054899,7.125,166.948934851,0.2,,262,166
0,4,true,264.124444625,11.1192601301,7.125,88.2930651991,0.2,,461.456175462,5.23868589185
1,4,true,16.8997044101,109.917679301,7.125,357.427733783,0.2,,12.3597998442,8.86181317583
2,4,true,21.3890878811,249.218154967,7.125,178.482829953,0.2,,21.6645735484,259.619412742
3,4,true,218.144086114,122.611829756,7.125,69.3283607331,0.2,,453,34
4,4,true,234.63856522,47.9646609621,7.125,166.948934851,0.2,,262,166
0,5,true,264.124444625,11.1192601301,0,88.2930651991,1.0,,264.124444625,11.1192601301
1,5,true,16.5799384335,102.799858376,7.125,357.427733783,0.2,,12.3597998442,8.86181317583
2,5,true,21.577733074,256.340657195,7.125,178.482829953,0.2,,21.6645735484,259.619412742
3,5,true,224.810370649,120.096620918,7.125,69.3283607331,0.2,,453,34
4,5,true,236.247528281,54.9056164343,7.125,166.948934851,0.2,,262,166
0,6,true,264.124444625,11.1192601301,0,88.2930651991,1.0,,264.124444625,11.1192601301
1,6,true,16.260172457,95.6820374514,7.125,357.427733783,0.2,,12.3597998442,8.86181317583
2,6,true,21.6339956754,258.464912245,2.125,178.482829953,0.2,,21.6645735484,259.619412742
3,6,true,231.476655184,117.58141208,7.125,69.3283607331,0.2,,453,34
4,6,true,237.856491343,61.8465719064,7.125,166.948934851,0.2,,262,166
