pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,103.118248782,265.554498871,2.125,324.0,0.2,,,
1,0,true,19.2666341018,156.401894151,2.125,164.0,0.2,,,
2,0,true,465.556856735,155.511883135,2.125,348.0,0.2,,,
3,0,true,26.5255216435,69.3084093376,2.125,91.0,0.2,,,
4,0,true,209.154066404,39.6757199374,2.125,233.0,0.2,,,
0,1,true,110.242167333,265.678633818,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,1,true,19.147582544,163.525899466,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,1,true,465.144824198,162.624959417,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,1,true,33.5724030935,68.2562274002,7.125,81.5078064608,0.2,,263,34
4,1,true,202.076554629,40.4969702481,7.125,263.381193664,0.2,,34,60
0,2,true,117.366085883,265.802768766,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,2,true,19.0285309861,170.64990478,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,2,true,464.732791661,169.738035698,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,2,true,40.6192845436,67.2040454627,7.125,81.5078064608,0.2,,263,34
4,2,true,194.999042854,41.3182205589,7.125,263.381193664,0.2,,34,60
0,3,true,124.490004434,265.926903713,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,3,true,18.9094794283,177.773910095,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,3,true,464.320759124,176.85111198,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,3,true,47.6661659936,66.1518635253,7.125,81.5078064608,0.2,,263,34
4,3,true,187.921531079,42.1394708696,7.125,263.381193664,0.2,,34,60
0,4,true,131.613922984,266.05103866,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,4,true,18.7904278705,184.89791541,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,4,true,463.908726587,183.964188262,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,4,true,54.7130474436,65.0996815879,7.125,81.5078064608,0.2,,263,34
4,4,true,180.844019303,42.9607211804,7.125,263.381193664,0.2,,34,60
0,5,true,138.737841535,266.175173608,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,5,true,18.6713763126,192.021920725,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,5,true,463.49669405,191.077264543,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,5,true,61.7599288936,64.0474996504,7.125,81.5078064608,0.2,,263,34
4,5,true,173.766507528,43.7819714911,7.125,263.381193664,0.2,,34,60
0,6,true,145.861760085,266.299308555,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,6,true,18.5523247548,199.14592604,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,6,true,463.084661512,198.190340825,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,6,true,68.8068103436,62.995317713,7.125,81.5078064608,0.2,,263,34
4,6,true,166.688995753,44.6032218019,7.125,263.381193664,0.2,,34,60
0,7,true,152.985678636,266.423443502,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,7,true,18.433273197,206.269931355,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,7,true,462.672628975,205.303417107,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,7,true,75.8536917936,61.9431357756,7.125,81.5078064608,0.2,,263,34
4,7,true,159.611483978,45.4244721127,7.125,263.381193664,0.2,,34,60
0,8,true,160.109597187,266.54757845,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,8,true,18.3142216391,213.39393667,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,8,true,462.260596438,212.416493388,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,8,true,82.9005732436,60.8909538381,7.125,81.5078064608,0.2,,263,34
4,8,true,152.533972203,46.2457224234,7.125,263.381193664,0.2,,34,60
0,9,true,167.233515737,266.671713397,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,9,true,18.1951700813,220.517941985,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,9,true,461.848563901,219.52956967,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,9,true,89.9474546936,59.8387719007,7.125,81.5078064608,0.2,,263,34
4,9,true,145.456460428,47.0669727342,7.125,263.381193664,0.2,,34,60
0,10,true,174.357434288,266.795848344,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,10,true,18.0761185234,227.6419473,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,10,true,461.436531364,226.642645952,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,10,true,96.9943361437,58.7865899633,7.125,81.5078064608,0.2,,263,34
4,10,true,138.378948653,47.8882230449,7.125,263.381193664,0.2,,34,60
0,11,true,181.481352838,266.919983292,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,11,true,17.9570669656,234.765952614,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,11,true,461.024498827,233.755722233,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,11,true,104.041217594,57.7344080258,7.125,81.5078064608,0.2,,263,34
4,11,true,131.301436877,48.7094733557,7.125,263.381193664,0.2,,34,60
0,12,true,188.605271389,267.044118239,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,12,true,17.8380154078,241.889957929,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,12,true,460.61246629,240.868798515,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,12,true,111.088099044,56.6822260884,7.125,81.5078064608,0.2,,263,34
4,12,true,124.223925102,49.5307236664,7.125,263.381193664,0.2,,34,60
0,13,true,195.729189939,267.168253187,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,13,true,17.7189638499,249.013963244,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,13,true,460.200433752,247.981874796,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,13,true,118.134980494,55.630044151,7.125,81.5078064608,0.2,,263,34
4,13,true,117.146413327,50.3519739772,7.125,263.381193664,0.2,,34,60
0,14,true,202.85310849,267.292388134,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,14,true,17.5999122921,256.137968559,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,14,true,459.788401215,255.094951078,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,14,true,125.181861944,54.5778622135,7.125,81.5078064608,0.2,,263,34
4,14,true,110.068901552,51.1732242879,7.125,263.381193664,0.2,,34,60
0,15,true,209.97702704,267.416523081,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,15,true,17.4808607342,263.261973874,7.125,180.957399193,0.2,,17.403434398,267.895139882
2,15,true,459.376368678,262.20802736,7.125,183.315214517,0.2,,459.320304949,263.175877088
3,15,true,132.228743394,53.5256802761,7.125,81.5078064608,0.2,,263,34
4,15,true,102.991389777,51.9944745987,7.125,263.381193664,0.2,,34,60
0,16,true,217.100945591,267.540658029,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,16,true,17.4453541293,265.386677214,2.125,180.957399193,0.2,,17.403434398,267.895139882
2,16,true,452.252398828,262.086872217,7.125,270.9743176,0.2,,22.2594226277,254.774115232
3,16,true,139.275624844,52.4734983387,7.125,81.5078064608,0.2,,263,34
4,16,true,95.9138780018,52.8157249095,7.125,263.381193664,0.2,,34,60
0,17,true,224.224864141,267.664792976,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,17,true,17.4098475243,267.511380553,2.125,180.957399193,0.2,,17.403434398,267.895139882
2,17,true,445.128428977,261.965717075,7.125,270.9743176,0.2,,22.2594226277,254.774115232
3,17,true,146.322506294,51.4213164012,7.125,81.5078064608,0.2,,263,34
4,17,true,88.8363662267,53.6369752202,7.125,263.381193664,0.2,,34,60
0,18,true,231.348782692,267.788927923,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,18,true,24.5348238177,267.529760402,7.125,90.1478019582,0.2,,466.310312536,268.669380592
2,18,true,438.004459127,261.844561932,7.125,270.9743176,0.2,,22.2594226277,254.774115232
3,18,true,153.369387744,50.3691344638,7.125,81.5078064608,0.2,,263,34
4,18,true,81.7588544516,54.458225531,7.125,263.381193664,0.2,,34,60
0,19,true,238.472701243,267.913062871,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,19,true,31.6598001111,267.548140251,7.125,90.1478019582,0.2,,466.310312536,268.669380592
2,19,true,430.880489276,261.72340679,7.125,270.9743176,0.2,,22.2594226277,254.774115232
3,19,true,160.416269194,49.3169525264,7.125,81.5078064608,0.2,,263,34
4,19,true,74.6813426765,55.2794758417,7.125,263.381193664,0.2,,34,60
0,20,true,245.596619793,268.037197818,7.125,90.9982832901,0.2,,476.832258258,272.066500456
1,20,true,38.7847764044,267.5665201,7.125,90.1478019582,0.2,,466.310312536,268.669380592
2,20,true,423.756519425,261.602251647,7.125,270.9743176,0.2,,22.2594226277,254.774115232
3,20,true,167.463150644,48.2647705889,7.125,81.5078064608,0.2,,263,34
4,20,true,67.6038309013,56.1007261525,7.125,263.381193664,0.2,,34,60
