pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
0,0,true,74.6353983157,11.8879508584,2.125,54.0,0.2,,,,False,False
1,0,true,229.283035211,258.943709333,2.125,62.0,0.2,,,,False,False
2,0,true,17.797648943,182.971064035,2.125,257.0,0.2,,,,False,False
3,0,true,398.157397329,249.326473504,2.125,349.0,0.2,,,,False,False
4,0,true,144.734212123,207.98885355,2.125,143.0,0.2,,,,False,False
0,1,true,67.6328346854,13.2031419485,7.125,259.362874135,0.2,,8.29060460223,24.3485418893,False,False
1,1,true,236.407440006,259.035803442,7.125,90.7405965924,0.2,,472.957270257,262.093581119,False,False
2,1,true,18.2925787666,190.078853386,7.125,176.016807742,0.2,,23.5433362406,265.486065241,False,False
3,1,true,391.824792765,246.060934584,7.125,297.278833903,0.2,,159,126,False,False
4,1,true,150.462840862,203.752293888,7.125,53.5155310669,0.2,,380,34,False,False
0,2,true,60.6302710551,14.5183330386,7.125,259.362874135,0.2,,8.29060460223,24.3485418893,False,False
1,2,true,243.5318448,259.127897552,7.125,90.7405965924,0.2,,472.957270257,262.093581119,False,False
2,2,true,18.7875085903,197.186642738,7.125,176.016807742,0.2,,23.5433362406,265.486065241,False,False
3,2,true,385.492188201,242.795395664,7.125,297.278833903,0.2,,159,126,False,False
4,2,true,156.191469601,199.515734226,7.125,53.5155310669,0.2,,380,34,False,False
0,3,true,53.6277074248,15.8335241286,7.125,259.362874135,0.2,,8.29060460223,24.3485418893,False,False
1,3,true,250.656249594,259.219991661,7.125,90.7405965924,0.2,,472.957270257,262.093581119,False,False
2,3,true,19.2824384139,204.29443209,7.125,176.016807742,0.2,,23.5433362406,265.486065241,False,False
3,3,true,379.159583638,239.529856744,7.125,297.278833903,0.2,,159,126,False,False
4,3,true,161.920098341,195.279174564,7.125,53.5155310669,0.2,,380,34,False,False
0,4,true,46.6251437945,17.1487152187,7.125,259.362874135,0.2,,8.29060460223,24.3485418893,False,False
1,4,true,257.780654389,259.312085771,7.125,90.7405965924,0.2,,472.957270257,262.093581119,False,False
2,4,true,19.7773682375,211.402221442,7.125,176.016807742,0.2,,23.5433362406,265.486065241,False,False
3,4,true,372.826979074,236.264317825,7.125,297.278833903,0.2,,159,126,False,False
4,4,true,167.64872708,191.042614902,7.125,53.5155310669,0.2,,380,34,False,False
0,5,true,39.6225801642,18.4639063088,7.125,259.362874135,0.2,,8.29060460223,24.3485418893,False,False
1,5,true,264.905059183,259.40417988,7.125,90.7405965924,0.2,,472.957270257,262.093581119,False,False
2,5,true,20.2722980611,218.510010794,7.125,176.016807742,0.2,,23.5433362406,265.486065241,False,False
3,5,true,366.49437451,232.998778905,7.125,297.278833903,0.2,,159,126,False,False
4,5,true,173.377355819,186.80605524,7.125,53.5155310669,0.2,,380,34,False,False
0,6,true,32.6200165339,19.7790973989,7.125,259.362874135,0.2,,8.29060460223,24.3485418893,False,False
1,6,true,272.029463978,259.496273989,7.125,90.7405965924,0.2,,472.957270257,262.093581119,False,False
2,6,true,20.7672278847,225.617800145,7.125,176.016807742,0.2,,23.5433362406,265.486065241,False,False
3,6,true,360.161769946,229.733239985,7.125,297.278833903,0.2,,159,126,False,False
4,6,true,179.105984558,182.569495578,7.125,53.5155310669,0.2,,380,34,False,False
0,7,true,25.6174529036,21.0942884889,7.125,259.362874135,0.2,,8.29060460223,24.3485418893,False,False
1,7,true,279.153868772,259.588368099,7.125,90.7405965924,0.2,,472.957270257,262.093581119,False,False
2,7,true,21.2621577083,232.725589497,7.125,176.016807742,0.2,,23.5433362406,265.486065241,False,False
3,7,true,353.829165382,226.467701065,7.125,297.278833903,0.2,,159,126,False,False
4,7,true,184.834613297,178.332935916,7.125,53.5155310669,0.2,,380,34,False,False
0,8,true,18.6148892732,22.409479579,7.125,259.362874135,0.2,,8.29060460223,24.3485418893,False,False
1,8,true,286.278273567,259.680462208,7.125,90.7405965924,0.2,,472.957270257,262.093581119,False,False
2,8,true,21.7570875319,239.833378849,7.125,176.016807742,0.2,,23.5433362406,265.486065241,False,False
3,8,true,347.496560818,223.202162145,7.125,297.278833903,0.2,,159,126,False,False
4,8,true,190.563242037,174.096376255,7.125,53.5155310669,0.2,,380,34,False,False
