pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,353.307144108,55.1558314889,2.125,6.0,0.0,0.0,,
1,0,true,125.581047635,144.268448856,2.125,258.0,0.1,0.0015625,,
2,0,true,287.679142306,116.857906937,2.125,232.0,0.0,0.0,,
0,1,true,353.307144108,48.0308314889,7.125,0.0,0.0,0.0,353.307144108,2.5
1,1,true,122.704165277,150.786820808,7.125,203.814257486,0.1,0.003125,67,277
2,1,true,287.679142306,109.732906937,7.125,0.0,0.0,0.0,287.679142306,2.5
0,2,true,353.307144108,40.9058314889,7.125,0.0,0.0,0.0,353.307144108,2.5
1,2,true,119.82728292,157.305192759,7.125,203.814257486,0.1,0.0046875,67,277
2,2,true,287.679142306,102.607906937,7.125,0.0,0.0,0.0,287.679142306,2.5
0,3,true,353.307144108,33.7808314889,7.125,0.0,0.0,0.0,353.307144108,2.5
1,3,true,116.950400562,163.823564711,7.125,203.814257486,0.1,0.00625,67,277
2,3,true,287.679142306,95.4829069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,4,true,353.307144108,26.6558314889,7.125,0.0,0.0,0.0,353.307144108,2.5
1,4,true,114.073518204,170.341936662,7.125,203.814257486,0.1,0.0078125,67,277
2,4,true,287.679142306,88.3579069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,5,true,353.307144108,19.5308314889,7.125,0.0,0.0,0.0,353.307144108,2.5
1,5,true,111.196635846,176.860308614,7.125,203.814257486,0.1,0.009375,67,277
2,5,true,287.679142306,81.2329069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,6,true,353.307144108,12.4058314889,7.125,0.0,0.0,0.0,353.307144108,2.5
1,6,true,108.319753489,183.378680566,7.125,203.814257486,0.1,0.0109375,67,277
2,6,true,287.679142306,74.1079069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,7,true,346.184170618,12.2359089991,7.125,271.366563459,0.1,0.0015625,3.67142360664,4.06507713473
1,7,true,105.442871131,189.897052517,7.125,203.814257486,0.1,0.0125,67,277
2,7,true,287.679142306,66.9829069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,8,true,339.060321783,12.1078356455,7.125,271.029958996,0.1,0.003125,7.33321755956,6.14400855121
1,8,true,102.565988773,196.415424469,7.125,203.814257486,0.1,0.0140625,67,277
2,8,true,287.679142306,59.8579069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,9,true,331.936902307,11.9577691249,7.125,271.206851103,0.1,0.0046875,5.33543537939,5.07737327812
1,9,true,99.6891064154,202.933796421,7.125,203.814257486,0.1,0.015625,67,277
2,9,true,287.679142306,52.7329069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,10,true,324.814747277,11.7564417103,7.125,271.619192521,0.1,0.00625,6.43777807708,2.75663592054
1,10,true,96.8122240576,209.452168372,7.125,203.814257486,0.1,0.0171875,67,277
2,10,true,287.679142306,45.6079069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,11,true,317.690580676,11.6474681081,7.125,270.876346798,0.1,0.0078125,6.61695226356,6.88918328335
1,11,true,93.9353416999,215.970540324,7.125,203.814257486,0.1,0.01875,67,277
2,11,true,287.679142306,38.4829069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,12,true,310.567847295,11.4677622721,7.125,271.445260061,0.1,0.009375,7.27845882317,3.81580196352
1,12,true,91.0584593422,222.488912275,7.125,203.814257486,0.1,0.0203125,67,277
2,12,true,287.679142306,31.3579069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,13,true,303.443505218,11.3709378782,7.125,270.77863858,0.1,0.0109375,7.34930236974,7.34682710328
1,13,true,88.1815769845,229.007284227,7.125,203.814257486,0.1,0.021875,67,277
2,13,true,287.679142306,24.2329069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,14,true,296.320054108,11.2223805399,7.125,271.194712328,0.1,0.0125,3.79675977702,5.12189899979
1,14,true,85.3046946267,235.525656179,7.125,203.814257486,0.1,0.0234375,67,277
2,14,true,287.679142306,17.1079069365,7.125,0.0,0.0,0.0,287.679142306,2.5
0,15,true,289.196969891,11.0571647799,7.125,271.328703758,0.1,0.0140625,7.3883005851,4.52077800182
1,15,true,82.427812269,242.04402813,7.125,203.814257486,0.1,0.025,67,277
2,15,true,287.679142306,9.98290693653,7.125,0.0,0.0,0.0,287.679142306,2.5
0,16,true,282.073870012,10.8926257154,7.125,271.323260644,0.1,0.015625,6.12456479637,4.51837275242
1,16,true,89.0577091438,239.434412751,7.125,68.5147428492,0.1,0.0265625,174,206
2,16,true,294.800378517,9.75134739939,7.125,88.137583039,0.1,0.0015625,479.84305928,3.73435874249
0,17,true,274.949797587,10.7776600996,7.125,270.924537605,0.1,0.0171875,4.09851436559,6.40676341007
1,17,true,95.6876060185,236.824797371,7.125,68.5147428492,0.1,0.028125,174,206
