pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
0,0,true,97.9294636123,50.4780209905,2.125,257.0,0.5,0.125,0.5,,
1,0,true,403.236066612,211.347354359,2.125,136.0,0.5,0.125,0.5,,
2,0,true,403.109468998,198.274719981,2.125,163.0,0.5,0.125,0.5,,
3,0,true,76.6926813839,198.475136284,2.125,358.0,0.5,0.125,0.5,,
4,0,true,86.7945003296,198.539573781,2.125,148.0,0.5,0.125,0.5,,
0,1,true,94.305527257,44.3434704534,7.125,329.427871613,0.5,0.25,0.5,63.6794143529,0.0
1,1,true,403.384299118,213.467177966,2.125,176.0,0.5,0.25,0.5,397,222
2,1,true,400.325509707,204.833317062,7.125,203.0,0.5,0.25,0.5,61,5
3,1,true,81.0792693956,192.860559664,7.125,38.0,0.5,0.25,0.5,354,191
4,1,true,93.5707780082,200.741319866,7.125,108.0,0.5,0.25,0.5,326,104
0,2,true,90.6815909016,38.2089199163,7.125,329.427871613,0.5,0.375,0.5,63.6794143529,0.0
1,2,true,402.135255457,215.186339079,2.125,216.0,0.5,0.375,0.5,397,222
2,2,true,393.977088223,208.067999373,7.125,243.0,0.5,0.375,0.5,61,5
3,2,true,88.0485710508,191.379188867,7.125,78.0,0.5,0.375,0.5,354,191
4,2,true,100.176962972,198.072247888,7.125,68.0,0.5,0.375,0.5,326,104
0,3,true,87.0576545462,32.0743693792,7.125,329.427871613,0.5,0.5,0.5,63.6794143529,0.0
1,3,true,400.856272458,216.883344526,2.125,217.004256545,0.5,0.5,0.5,397,222
2,3,true,387.034701511,206.46522311,7.125,283.0,0.5,0.5,0.5,61,5
3,3,true,95.1735638088,191.369030178,7.125,89.9183087412,0.5,0.5,0.5,354,191
4,3,true,106.75409991,195.332376595,7.125,67.3846068603,0.5,0.5,0.5,326,104
0,4,true,83.4337181908,25.9398188421,7.125,329.427871613,0.5,0.625,0.5,63.6794143529,0.0
1,4,true,399.577289458,218.580349973,2.125,217.004256545,0.5,0.625,0.5,397,222
2,4,true,380.973521004,202.719863867,7.125,301.712984833,0.5,0.625,0.5,61,5
3,4,true,102.298556567,191.358871489,7.125,89.9183087412,0.5,0.625,0.5,354,191
4,4,true,113.331236848,192.592505302,7.125,67.3846068603,0.5,0.625,0.5,326,104
0,5,true,79.8097818355,19.805268305,7.125,329.427871613,0.5,0.75,0.5,63.6794143529,0.0
1,5,true,392.634783695,220.182610475,7.125,257.004256545,0.5,0.75,0.5,268,213
2,5,true,374.912340498,198.974504623,7.125,301.712984833,0.5,0.75,0.5,61,5
3,5,true,109.423549325,191.348712799,7.125,89.9183087412,0.5,0.75,0.5,354,191
4,5,true,119.908373785,189.852634009,7.125,67.3846068603,0.5,0.75,0.5,326,104
0,6,true,76.1858454801,13.6707177679,7.125,329.427871613,0.5,0.875,0.5,63.6794143529,0.0
1,6,true,385.521585837,219.77268214,7.125,273.298265334,0.5,0.875,0.5,268,213
2,6,true,368.851159991,195.229145379,7.125,301.712984833,0.5,0.875,0.5,61,5
3,6,true,116.548542083,191.33855411,7.125,89.9183087412,0.5,0.875,0.5,354,191
4,6,true,126.485510723,187.112762716,7.125,67.3846068603,0.5,0.875,0.5,326,104
0,7,true,72.5619091247,7.5361672308,7.125,329.427871613,0.5,1.0,0.5,63.6794143529,0.0
1,7,true,378.40838798,219.362753804,7.125,273.298265334,0.5,1.0,0.5,268,213
2,7,true,362.789979484,191.483786135,7.125,301.712984833,0.5,1.0,0.5,61,5
3,7,true,123.673534841,191.328395421,7.125,89.9183087412,0.5,1.0,0.5,354,191
4,7,true,133.062647661,184.372891424,7.125,67.3846068603,0.5,1.0,0.5,326,104
0,8,true,71.4810860012,5.70656443904,2.125,329.427871613,0.5,1.125,0.5,63.6794143529,0.0
1,8,true,371.295190122,218.952825468,7.125,273.298265334,0.5,1.125,0.5,268,213
2,8,true,356.728798977,187.738426891,7.125,301.712984833,0.5,1.125,0.5,61,5
3,8,true,130.798527599,191.318236731,7.125,89.9183087412,0.5,1.125,0.5,354,191
4,8,true,139.639784599,181.633020131,7.125,67.3846068603,0.5,1.125,0.5,326,104
0,9,true,70.4002628776,3.87696164727,2.125,329.427871613,0.5,1.25,0.5,63.6794143529,0.0
1,9,true,364.181992265,218.542897133,7.125,273.298265334,0.5,1.25,0.5,268,213
2,9,true,350.667618471,183.993067648,7.125,301.712984833,0.5,1.25,0.5,61,5
3,9,true,137.923520357,191.308078042,7.125,89.9183087412,0.5,1.25,0.5,354,191
4,9,true,146.216921537,178.893148838,7.125,67.3846068603,0.5,1.25,0.5,326,104
0,10,true,69.3194397541,2.5,2.125,329.427871613,0.5,1.375,0.5,63.6794143529,0.0
1,10,true,357.068794407,218.132968797,7.125,273.298265334,0.5,1.375,0.5,268,213
2,10,true,344.606437964,180.247708404,7.125,301.712984833,0.5,1.375,0.5,61,5
3,10,true,145.048513115,191.297919353,7.125,89.9183087412,0.5,1.375,0.5,354,191
4,10,true,152.794058475,176.153277545,7.125,67.3846068603,0.5,1.375,0.5,326,104
0,11,true,74.7315027402,2.5,7.125,49.4278716126,0.5,1.5,0.5,379.992868747,0.0
1,11,true,349.95559655,217.723040462,7.125,273.298265334,0.5,1.5,0.5,268,213
2,11,true,338.545257457,176.50234916,7.125,301.712984833,0.5,1.5,0.5,61,5
3,11,true,152.173505872,191.287760664,7.125,89.9183087412,0.5,1.5,0.5,354,191
4,11,true,159.371195412,173.413406252,7.125,67.3846068603,0.5,1.5,0.5,326,104
0,12,true,81.8526827538,2.5,7.125,88.1237292492,0.5,1.625,0.5,379.992868747,0.0
1,12,true,342.842398692,217.313112126,7.125,273.298265334,0.5,1.625,0.5,268,213
2,12,true,332.484076951,172.756989916,7.125,301.712984833,0.5,1.625,0.5,61,5
3,12,true,159.29849863,191.277601974,7.125,89.9183087412,0.5,1.625,0.5,354,191
4,12,true,165.94833235,170.67353496,7.125,67.3846068603,0.5,1.625,0.5,326,104
0,13,true,88.9736782604,2.5,7.125,88.0789470705,1.0,1.875,1.0,379.992868747,0.0
1,13,true,335.729200835,216.90318379,7.125,273.298265334,0.5,1.75,0.5,268,213
2,13,true,326.422896444,169.011630672,7.125,301.712984833,0.5,1.75,0.5,61,5
3,13,true,166.423491388,191.267443285,7.125,89.9183087412,0.5,1.75,0.5,354,191
4,13,true,172.525469288,167.933663667,7.125,67.3846068603,0.5,1.75,0.5,326,104
0,14,true,89.2723203315,2.5,2.125,8.07894707055,1.0,2.125,1.0,88.9736782604,2.5
